"gene_td","gene_zm","log2FC_protein","log2FC_RNA","padj_RNA","DAP","DEG","highlight"
"Td00001aa009663","Zm00001eb340370",0.00450935574627651,-0.503578439338639,0.107774476727423,"NS","NS","NS"
"Td00001aa009691","Zm00001eb340590",0.160451910758448,0.641150371050656,0.0790957596791508,"NS","NS","NS"
"Td00001aa009697","Zm00001eb340720",-0.265153834173698,0.203476413682728,0.718681992398992,"NS","NS","NS"
"Td00001aa009712","Zm00001eb340900",-0.587621628066752,-0.123768757915161,0.866136184604791,"NS","NS","NS"
"Td00001aa009740","Zm00001eb341370",-0.18561175010214,0.103117299127593,0.835227924450275,"NS","NS","NS"
"Td00001aa009764","Zm00001eb341860",-0.632431526064166,0.466841414008909,0.162814479891126,"NS","NS","NS"
"Td00001aa009855","Zm00001eb356710",-0.20110948474988,0.253742590610667,0.379943294069322,"NS","NS","NS"
"Td00001aa009871","Zm00001eb356870",0.0982809547001017,0.168041820787957,0.755769916659486,"NS","NS","NS"
"Td00001aa009874","Zm00001eb356910",1.02171028275205,5.68685443404576,1.14607488896827e-06,"Up","Up","Up"
"Td00001aa009886","Zm00001eb356970",-0.364996748877217,-0.274487451444383,0.58241846684831,"NS","NS","NS"
"Td00001aa009915","Zm00001eb357140",0.056545336156666,0.582172855590297,0.0123097670290616,"NS","NS","NS"
"Td00001aa009918","Zm00001eb357200",0.613698597428143,-0.444011366368174,0.288550226100047,"NS","NS","NS"
"Td00001aa009947","Zm00001eb357390",0.0029512551490456,0.0573933239571795,0.946218463427112,"NS","NS","NS"
"Td00001aa009977","Zm00001eb357670",-0.053516088254444,0.269185944527841,0.466435046496818,"NS","NS","NS"
"Td00001aa010029","Zm00001eb358100",-0.0135739297414319,0.130589775687638,0.716678272399024,"NS","NS","NS"
"Td00001aa010032","Zm00001eb358170",-0.168289477782726,-0.411102792472218,0.191627673625523,"NS","NS","NS"
"Td00001aa010052","Zm00001eb358310",0.185773214109581,0.265681173053007,0.518791385587359,"NS","NS","NS"
"Td00001aa010057","Zm00001eb358410",-0.293241467555464,-0.112708345358949,0.872217372717905,"NS","NS","NS"
"Td00001aa010067","Zm00001eb358560",-0.497504297461918,0.405986239394501,0.288358515133626,"NS","NS","NS"
"Td00001aa010082","Zm00001eb159350",-0.0275480104097603,-0.0205124180978272,0.980884508604077,"NS","NS","NS"
"Td00001aa010087","Zm00001eb358770",0.654515081925169,0.12025309594169,0.817541051658603,"NS","NS","NS"
"Td00001aa010167","Zm00001eb359400",-0.263170514377282,-0.29291803768863,0.478284034640802,"NS","NS","NS"
"Td00001aa010169","Zm00001eb359420",0.424281676090603,0.542733767402953,0.221805823496167,"NS","NS","NS"
"Td00001aa010182","Zm00001eb157850",-0.204187041719276,0.495864086503784,0.101221129076492,"NS","NS","NS"
"Td00001aa010207","Zm00001eb359730",-0.220317146765915,0.981703377828996,0.0652570468917618,"NS","NS","NS"
"Td00001aa010260","Zm00001eb360190",-0.290799482549163,0.322186126859103,0.360919111228174,"NS","NS","NS"
"Td00001aa010289","Zm00001eb360480",-0.0185311481268935,0.296418983836239,0.610672704698489,"NS","NS","NS"
"Td00001aa010338","Zm00001eb360880",0.070656319890316,0.869456467349916,0.0431943347472146,"NS","NS","NS"
"Td00001aa010339","Zm00001eb360900",0.414012409225718,0.933984625649921,0.00282202248768012,"NS","NS","NS"
"Td00001aa010356","Zm00001eb361030",-0.000376804326560197,-0.227807025144319,0.644699506016793,"NS","NS","NS"
"Td00001aa010371","Zm00001eb361210",-0.0728298168011498,-0.318187148776241,0.426148032585214,"NS","NS","NS"
"Td00001aa010378","Zm00001eb361300",-0.497906593782228,0.328607187139989,0.389273005580811,"NS","NS","NS"
"Td00001aa010388","Zm00001eb361460",-0.496732893096207,0.164265251201858,0.719345306361914,"NS","NS","NS"
"Td00001aa010418","Zm00001eb361700",0.273632840398882,-0.224542885117357,0.537441293471002,"NS","NS","NS"
"Td00001aa010440","Zm00001eb361870",-0.148337086454814,-0.0961556314670264,0.90616150868761,"NS","NS","NS"
"Td00001aa010462","Zm00001eb371250",-0.00205838448437555,0.020196555782965,0.969811306081969,"NS","NS","NS"
"Td00001aa010482","Zm00001eb371150",-0.023603619276941,0.231431345006295,0.679891379001419,"NS","NS","NS"
"Td00001aa010545","Zm00001eb370590",-0.10959202708234,0.181230141169609,0.747201148315896,"NS","NS","NS"
"Td00001aa010562","Zm00001eb370440",-0.129992853919725,-0.78404442063525,0.130284595117016,"NS","NS","NS"
"Td00001aa010569","Zm00001eb370370",-0.555287114272641,0.511289024805672,0.107774476727423,"NS","NS","NS"
"Td00001aa010573","Zm00001eb370330",0.0608450162577587,-0.0546539586224637,0.900244981162968,"NS","NS","NS"
"Td00001aa010575","Zm00001eb370320",0.0750558651483537,-0.260367373156664,0.570068961730324,"NS","NS","NS"
"Td00001aa010578","Zm00001eb370290",0.129931186553346,1.17376161873878,0.0163895346102791,"NS","Up","NS"
"Td00001aa010582","Zm00001eb370240",-0.513102003154444,0.232261668094042,0.587227495603722,"NS","NS","NS"
"Td00001aa010600","Zm00001eb370100",0.234222931591487,0.281577335235451,0.556010096165623,"NS","NS","NS"
"Td00001aa010642","Zm00001eb369780",0.0519459429240275,0.136988072864677,0.815790167063124,"NS","NS","NS"
"Td00001aa010645","Zm00001eb369750",-0.0587048243521397,-0.0406606106583893,0.931142809139364,"NS","NS","NS"
"Td00001aa010662","Zm00001eb151060",0.178970088264472,0.399202927030983,0.371118568868354,"NS","NS","NS"
"Td00001aa010671","Zm00001eb369580",-0.309380952106569,0.171713343380762,0.726082562637406,"NS","NS","NS"
"Td00001aa010744","Zm00001eb368990",1.00979669827725,0.510910613185759,0.359345895953883,"Up","NS","NS"
"Td00001aa010752","Zm00001eb149610",-0.454558041434064,-0.0476796232712931,0.946218463427112,"NS","NS","NS"
"Td00001aa010759","Zm00001eb368840",-0.389851495736679,0.35817788905082,0.382647794141662,"NS","NS","NS"
"Td00001aa010760","Zm00001eb368820",0.25589399409156,-0.0480967823851056,0.947170100068411,"NS","NS","NS"
"Td00001aa010844","Zm00001eb368000",0.789997588498667,-1.56801494698251,0.00126954302781091,"NS","Down","NS"
"Td00001aa010854","Zm00001eb367890",0.078948069932358,0.671965680622435,0.0553220885732327,"NS","NS","NS"
"Td00001aa010934","Zm00001eb366800",-0.137091952131807,0.413410753398023,0.910730911473262,"NS","NS","NS"
"Td00001aa010944","Zm00001eb366720",-0.0647315306566455,-0.158821650986236,0.705910882660253,"NS","NS","NS"
"Td00001aa010947","Zm00001eb366710",-0.687406905376412,1.00235317137106,0.0202245798232183,"NS","Up","NS"
"Td00001aa010954","Zm00001eb366640",0.012317804194986,0.0731323304065005,0.892051679782176,"NS","NS","NS"
"Td00001aa010981","Zm00001eb366430",0.12133027529024,-0.570066196362042,0.248938460317581,"NS","NS","NS"
"Td00001aa010989","Zm00001eb366350",-0.128591777538934,0.076177480847817,0.885963741453528,"NS","NS","NS"
"Td00001aa011042","Zm00001eb365810",-0.132411545816716,0.438244032916559,0.442915074301354,"NS","NS","NS"
"Td00001aa011045","Zm00001eb365780",-0.228763842262141,-0.387897301493181,0.319761706297807,"NS","NS","NS"
"Td00001aa011081","Zm00001eb365200",-0.0556253000596799,-0.128704891558753,0.829769639307376,"NS","NS","NS"
"Td00001aa011129","Zm00001eb364750",0.478093785319046,0.425881959920719,0.296917069687548,"NS","NS","NS"
"Td00001aa011137","Zm00001eb364660",-0.248478200569644,0.20750026746162,0.700271960074683,"NS","NS","NS"
"Td00001aa011157","Zm00001eb364380",-0.0950884905056485,-0.0191387192105839,0.979701831812432,"NS","NS","NS"
"Td00001aa011188","Zm00001eb363960",-0.60891026190653,-1.07903374842342,0.0175686362978072,"NS","Down","NS"
"Td00001aa011197","Zm00001eb363880",-0.127072927174064,0.325080243877012,0.276905991044479,"NS","NS","NS"
"Td00001aa011200","Zm00001eb363840",0.55331517639657,0.431567173934003,0.367538266957992,"NS","NS","NS"
"Td00001aa011228","Zm00001eb363500",-0.487803470364135,0.513642503430851,0.0700150878957345,"NS","NS","NS"
"Td00001aa011250","Zm00001eb363240",0.0187293694273387,0.397673637901684,0.290635350976589,"NS","NS","NS"
"Td00001aa011263","Zm00001eb363090",0.165390680787956,-0.143907765069708,0.834352869531462,"NS","NS","NS"
"Td00001aa011277","Zm00001eb362860",-0.5234364536686,0.174981259047421,0.586703688636773,"NS","NS","NS"
"Td00001aa011280","Zm00001eb362830",-0.556849764504782,0.57340107713351,0.0153934803817657,"NS","NS","NS"
"Td00001aa011286","Zm00001eb362760",0.461505425761863,-0.56834762728753,0.30932003952879,"NS","NS","NS"
"Td00001aa011312","Zm00001eb362520",-0.317142973324859,0.679859016251483,0.0143528018933998,"NS","NS","NS"
"Td00001aa011332","Zm00001eb362330",-0.420242037160802,3.73276330019747,0.0934799485416902,"NS","NS","NS"
"Td00001aa011350","Zm00001eb362080",-0.13773074848967,-0.149463024544293,0.719345306361914,"NS","NS","NS"
"Td00001aa011352","Zm00001eb362030",-0.202245145659445,-0.295089634027906,0.681932110001284,"NS","NS","NS"
"Td00001aa011353","Zm00001eb362020",-0.0521197676738,0.0893042111411696,0.846269027124046,"NS","NS","NS"
"Td00001aa011427","Zm00001eb411380",-1.28917449111682,1.17660844346404,0.0266159029504667,"Down","Up","NS"
"Td00001aa011430","Zm00001eb411430",0.977559759699713,1.57248085145137,0.110721323255815,"NS","NS","NS"
"Td00001aa011438","Zm00001eb411490",0.341630938305286,0.379116612903403,0.277376172133118,"NS","NS","NS"
"Td00001aa011468","Zm00001eb411740",-0.0503263601685825,0.0554585494833964,0.916178277727344,"NS","NS","NS"
"Td00001aa011477","Zm00001eb411760",0.014433686266118,-0.154059082431065,0.908572618832652,"NS","NS","NS"
"Td00001aa011506","Zm00001eb028370",0.113783057501848,0.341348211146534,0.373600616859508,"NS","NS","NS"
"Td00001aa011551","Zm00001eb028770",0.0671608976295135,-1.51865333723574,0.405073957292788,"NS","NS","NS"
"Td00001aa011555","Zm00001eb028810",-0.310511194200697,0.0470594578156992,0.926410631973659,"NS","NS","NS"
"Td00001aa011564","Zm00001eb028940",0.0477010263918488,-0.121969663114108,0.778787176609599,"NS","NS","NS"
"Td00001aa011566","Zm00001eb029010",-0.226305786506055,-0.61500327792001,0.103057732793499,"NS","NS","NS"
"Td00001aa011576","Zm00001eb029200",0.055133479597669,-1.02856867669535,0.00035475083803548,"NS","Down","NS"
"Td00001aa011609","Zm00001eb029580",0.122634533340152,0.174653035649198,0.688402383034301,"NS","NS","NS"
"Td00001aa011659","Zm00001eb030210",-0.0981179266801434,0.078318068291873,0.849402251323528,"NS","NS","NS"
"Td00001aa011674","Zm00001eb030410",0.542365619830627,-0.249757407679267,0.708751928379859,"NS","NS","NS"
"Td00001aa011675","Zm00001eb030420",0.11648419819701,0.929422879047074,0.00790457508602344,"NS","NS","NS"
"Td00001aa011732","Zm00001eb030980",-0.0657838574721025,0.32236252160874,0.301004192030215,"NS","NS","NS"
"Td00001aa011748","Zm00001eb032060",-0.0986287083111515,0.368527918011491,0.246636121364473,"NS","NS","NS"
"Td00001aa011779","Zm00001eb032380",0.436548520113827,0.77817777225154,0.013577550614362,"NS","NS","NS"
"Td00001aa011866","Zm00001eb434560",-0.0909248720740175,-0.180121550098987,0.768172774486436,"NS","NS","NS"
"Td00001aa011875","Zm00001eb434510",-0.875772149075944,-0.106029601453208,0.846910820467787,"NS","NS","NS"
"Td00001aa011890","Zm00001eb434370",0.121553404053663,-0.57312882518666,0.587033304506388,"NS","NS","NS"
"Td00001aa011895","Zm00001eb434320",-0.115687458720146,0.332539049884589,0.486090184358303,"NS","NS","NS"
"Td00001aa011905","Zm00001eb434230",-0.282752638040104,0.000261276891702403,0.999641739316739,"NS","NS","NS"
"Td00001aa011919","Zm00001eb434200",-0.139013347402015,0.423112210320902,0.118939525361961,"NS","NS","NS"
"Td00001aa011925","Zm00001eb434140",-0.134258173747,2.97087555917902,1.68836418512116e-13,"NS","Up","NS"
"Td00001aa011930","Zm00001eb434080",-0.245346164258376,-0.582996010571954,0.128059975675321,"NS","NS","NS"
"Td00001aa011935","Zm00001eb434030",0.178550600661491,0.905359326674165,0.0021667084731757,"NS","NS","NS"
"Td00001aa011954","Zm00001eb433870",1.29049518916826,0.82614228490702,0.294757479306549,"Up","NS","NS"
"Td00001aa011955","Zm00001eb433860",-0.044720513253848,0.209647915025733,0.590189919517534,"NS","NS","NS"
"Td00001aa011973","Zm00001eb433680",-0.0202579187458135,-0.453902253355653,0.377294618888122,"NS","NS","NS"
"Td00001aa011975","Zm00001eb433650",-0.0858491331733071,-0.110759387632806,0.812730348432575,"NS","NS","NS"
"Td00001aa012022","Zm00001eb433310",0.293678399767437,0.454124128280612,0.10586548402069,"NS","NS","NS"
"Td00001aa012060","Zm00001eb432790",-0.420363609223696,0.321860012215428,0.628520535845571,"NS","NS","NS"
"Td00001aa012064","Zm00001eb432770",-0.11921503968445,0.574123703936258,0.083163426253531,"NS","NS","NS"
"Td00001aa012077","Zm00001eb432580",-0.1425324838293,0.0460715294267045,0.921898952261716,"NS","NS","NS"
"Td00001aa012104","Zm00001eb432360",-0.227583808474459,0.397060879869012,0.272757370057637,"NS","NS","NS"
"Td00001aa012106","Zm00001eb432330",0.30636100799679,-0.334557404886843,0.638739598129438,"NS","NS","NS"
"Td00001aa012113","Zm00001eb432170",-0.273157636403515,1.76599232636317,3.25324210007724e-06,"NS","Up","NS"
"Td00001aa012163","Zm00001eb431740",-0.110184717338424,0.622944452413083,0.0611962144877115,"NS","NS","NS"
"Td00001aa012166","Zm00001eb069160",-0.104224257866525,-0.297096987297463,0.699289226030534,"NS","NS","NS"
"Td00001aa012190","Zm00001eb431460",-0.517040683176643,0.384645540552509,0.223035658773504,"NS","NS","NS"
"Td00001aa012238","Zm00001eb431060",-0.237264485227561,0.251880695280574,0.436986731177931,"NS","NS","NS"
"Td00001aa012250","Zm00001eb431000",-0.0687314144360419,-0.386457730662004,0.457842601659069,"NS","NS","NS"
"Td00001aa012271","Zm00001eb430780",-1.20436077491209,-0.269457878912152,0.646815810518188,"Down","NS","NS"
"Td00001aa012276","Zm00001eb430730",-0.51572740812706,0.0394244902881406,0.929659984654852,"NS","NS","NS"
"Td00001aa012294","Zm00001eb430580",-0.227198936782997,-0.0447028986595808,0.923861070450814,"NS","NS","NS"
"Td00001aa012295","Zm00001eb430560",-0.324617164042131,-0.459056617315033,0.229136599602898,"NS","NS","NS"
"Td00001aa012388","Zm00001eb429430",0.334798176485951,-0.441259727503711,0.443516803184315,"NS","NS","NS"
"Td00001aa012396","Zm00001eb429310",-0.637047695166965,0.0633205743451905,0.923695485315349,"NS","NS","NS"
"Td00001aa012440","Zm00001eb428660",-0.457340655918883,-0.360477395772208,0.338216190851662,"NS","NS","NS"
"Td00001aa012521","Zm00001eb427810",-0.840459992259189,1.60443140731564,0.33667315252256,"NS","NS","NS"
"Td00001aa012562","Zm00001eb427400",-0.33655269617998,0.915505244791113,0.196712054382121,"NS","NS","NS"
"Td00001aa012567","Zm00001eb427320",-0.120436314451862,1.67200534093689,0.0267202906175038,"NS","Up","NS"
"Td00001aa012570","Zm00001eb427290",-0.217702904306484,0.313761001283511,0.495572382495616,"NS","NS","NS"
"Td00001aa012579","Zm00001eb427180",-0.549156780315559,1.24815828145494,4.21907458922757e-05,"NS","Up","NS"
"Td00001aa012606","Zm00001eb426990",-0.597900816592328,-0.394090361778594,0.321144780793865,"NS","NS","NS"
"Td00001aa012623","Zm00001eb426700",0.234125299882853,0.109974800469733,0.804790622241479,"NS","NS","NS"
"Td00001aa012628","Zm00001eb426650",0.82249404643684,-0.412404558184267,0.507515252878038,"NS","NS","NS"
"Td00001aa012677","Zm00001eb426070",0.386405382915357,0.396074032134067,0.142232007627938,"NS","NS","NS"
"Td00001aa012705","Zm00001eb425750",-0.222958773928676,0.0578566913355979,0.923067690086965,"NS","NS","NS"
"Td00001aa012719","Zm00001eb425600",2.68366629052085,-0.632885444540505,0.378924527838652,"Up","NS","NS"
"Td00001aa012729","Zm00001eb425460",0.0075192808675388,-0.460414642924047,0.691019368162823,"NS","NS","NS"
"Td00001aa012773","Zm00001eb424960",0.088067519253616,-0.643230428546631,0.146566692226864,"NS","NS","NS"
"Td00001aa012774","Zm00001eb424940",0.282659639838715,0.559096906397343,0.165066671511182,"NS","NS","NS"
"Td00001aa012779","Zm00001eb424850",0.0685696203471577,-0.309985191453196,0.526561910022628,"NS","NS","NS"
"Td00001aa012809","Zm00001eb424620",0.97686928361051,0.971460683543241,0.225702093108131,"NS","NS","NS"
"Td00001aa012816","Zm00001eb424560",0.229710856953986,-0.0199453470958318,0.971731662487442,"NS","NS","NS"
"Td00001aa012823","Zm00001eb424480",0.102128716412489,0.352079729069327,0.35604578177504,"NS","NS","NS"
"Td00001aa012842","Zm00001eb424310",-0.270663388523035,-0.107858665733504,0.785849807117655,"NS","NS","NS"
"Td00001aa012879","Zm00001eb423920",-0.222025305024062,-0.0318657250245827,0.972453087240755,"NS","NS","NS"
"Td00001aa012911","Zm00001eb423470",0.613687768380738,2.49190625507781,0.0552559069279102,"NS","NS","NS"
"Td00001aa012978","Zm00001eb422640",-0.170648587370878,0.433216082709019,0.403925999955633,"NS","NS","NS"
"Td00001aa013007","Zm00001eb422400",-8.45277344110051e-05,-0.109680761400257,0.952398007382466,"NS","NS","NS"
"Td00001aa013013","Zm00001eb422340",-0.0481783833096967,0.100839858581766,0.829813568635273,"NS","NS","NS"
"Td00001aa013076","Zm00001eb421600",-0.0801794565270248,-1.15762161160624,2.19756556996328e-07,"NS","Down","NS"
"Td00001aa013127","Zm00001eb421290",0.218812659964276,0.086305449895612,0.862335886522045,"NS","NS","NS"
"Td00001aa013141","Zm00001eb421170",0.382561815130937,0.44206799208724,0.219974066527826,"NS","NS","NS"
"Td00001aa013158","Zm00001eb421090",-0.0225346936723997,0.0221044878919537,0.971751879245143,"NS","NS","NS"
"Td00001aa013176","Zm00001eb420880",0.04103878892005,0.150245165857263,0.730103001287607,"NS","NS","NS"
"Td00001aa013204","Zm00001eb420610",-0.48364037442976,-1.33415198396351,4.35834486149972e-05,"NS","Down","NS"
"Td00001aa013205","Zm00001eb420600",-0.358915440928455,-0.517074913502909,0.030458001844801,"NS","NS","NS"
"Td00001aa013262","Zm00001eb420190",-0.160933856205415,-1.22892218865803,0.00920609863734578,"NS","Down","NS"
"Td00001aa013293","Zm00001eb419790",-0.239788176695198,0.657797481428582,0.0845498026735425,"NS","NS","NS"
"Td00001aa013332","Zm00001eb419520",-0.590194166620682,0.279198999293822,0.814819938065707,"NS","NS","NS"
"Td00001aa013334","Zm00001eb419510",0.50825362744252,-1.16225359083489,0.00724605553727134,"NS","Down","NS"
"Td00001aa013344","Zm00001eb419480",-0.27993871241918,-0.288162622598535,0.570322041396637,"NS","NS","NS"
"Td00001aa013359","Zm00001eb419210",0.34270458617145,-0.612562019612085,0.635325932271172,"NS","NS","NS"
"Td00001aa013413","Zm00001eb000320",-0.17163040780032,0.157599305525077,0.765782570776293,"NS","NS","NS"
"Td00001aa013419","Zm00001eb000340",-0.0333141786957684,0.27868115148704,0.471582247068042,"NS","NS","NS"
"Td00001aa013433","Zm00001eb000480",-0.0293592126874227,0.346153880874122,0.321983618132769,"NS","NS","NS"
"Td00001aa013454","Zm00001eb000620",0.0540765184222785,0.865500428288809,0.289217975825348,"NS","NS","NS"
"Td00001aa013466","Zm00001eb000700",-0.351975230522434,-0.0844298022839287,0.837600158438529,"NS","NS","NS"
"Td00001aa013477","Zm00001eb000800",-0.510103358933433,0.0644668334816705,0.951652265413016,"NS","NS","NS"
"Td00001aa013480","Zm00001eb000840",-1.28486107499827,0.156797095272279,0.757936501200527,"Down","NS","NS"
"Td00001aa013482","Zm00001eb000860",-0.406185259211312,0.0585047973492467,0.887782862632814,"NS","NS","NS"
"Td00001aa013498","Zm00001eb001000",-0.382603009991126,0.160970234504569,0.810749601987752,"NS","NS","NS"
"Td00001aa013516","Zm00001eb001180",-0.066404253846007,0.171418942403621,0.861505288220887,"NS","NS","NS"
"Td00001aa013521","Zm00001eb001240",-0.0423975250788817,-0.722367273641645,0.0151687068536173,"NS","NS","NS"
"Td00001aa013532","Zm00001eb001400",-0.242654249901896,0.578581217938696,0.0452131536602311,"NS","NS","NS"
"Td00001aa013562","Zm00001eb001650",0.0904438686986581,-0.4160132108951,0.541694940083008,"NS","NS","NS"
"Td00001aa013579","Zm00001eb001840",0.115516437741839,4.6883048017936,0.00647189161957675,"NS","Up","NS"
"Td00001aa013609","Zm00001eb002060",0.0364918535544606,0.296105896883661,0.332073516864723,"NS","NS","NS"
"Td00001aa013626","Zm00001eb002220",-0.045650756104015,-0.209808455697033,0.603930235530286,"NS","NS","NS"
"Td00001aa013660","Zm00001eb002570",0.0300034250884621,0.768070173874283,0.00734427918270827,"NS","NS","NS"
"Td00001aa013672","Zm00001eb002780",-1.04515713291076,0.960691441890867,0.00384963559672973,"Down","NS","NS"
"Td00001aa013673","Zm00001eb002790",-0.921312925420386,0.946102953876289,0.000359719919999943,"NS","NS","NS"
"Td00001aa013674","Zm00001eb002800",-0.872420334933042,1.00852183868948,0.000302642066907473,"NS","Up","NS"
"Td00001aa013675","Zm00001eb002810",-0.782188375131578,-0.659084003190456,0.0673382089148715,"NS","NS","NS"
"Td00001aa013685","Zm00001eb002950",0.613697199593194,0.0933303529663858,0.92043147483617,"NS","NS","NS"
"Td00001aa013686","Zm00001eb002960",-0.110879546646103,0.781460060546766,0.021606365324526,"NS","NS","NS"
"Td00001aa013691","Zm00001eb003070",-0.144524384499715,0.00148940333323363,0.998000032172327,"NS","NS","NS"
"Td00001aa013719","Zm00001eb003350",0.371681977079171,-0.196524126540143,0.674902728642191,"NS","NS","NS"
"Td00001aa013725","Zm00001eb003440",1.31653818290355,0.772782119821976,0.14167535203561,"Up","NS","NS"
"Td00001aa013761","Zm00001eb003760",-0.408380984846996,-0.917069484182883,0.0324548946298527,"NS","NS","NS"
"Td00001aa013783","Zm00001eb004030",-0.301706488224299,0.0691181360554366,0.89378462121888,"NS","NS","NS"
"Td00001aa013792","Zm00001eb004170",0.501107464995915,0.55917928957421,0.0573629873592306,"NS","NS","NS"
"Td00001aa013819","Zm00001eb004400",0.0730905258881014,0.423611089074704,0.49358314427814,"NS","NS","NS"
"Td00001aa013843","Zm00001eb004660",0.370356165512905,0.364632104669528,0.180815702224192,"NS","NS","NS"
"Td00001aa013887","Zm00001eb005140",-0.11594616305594,-0.998145710002503,0.00277808582286893,"NS","NS","NS"
"Td00001aa013906","Zm00001eb005330",-0.243644515364981,0.758015367871485,0.0688530818032417,"NS","NS","NS"
"Td00001aa013911","Zm00001eb005370",-0.191118700841894,-0.327563362380619,0.593842064666448,"NS","NS","NS"
"Td00001aa013924","Zm00001eb005550",-0.0550376633025175,0.42883068303622,0.124326170032087,"NS","NS","NS"
"Td00001aa013939","Zm00001eb005660",0.0296321731183762,0.313137286971847,0.443516803184315,"NS","NS","NS"
"Td00001aa013963","Zm00001eb005920",0.0332619603982709,0.792851462154844,0.0458909649171935,"NS","NS","NS"
"Td00001aa014014","Zm00001eb006510",0.138328444295762,0.312669579111773,0.520057880340835,"NS","NS","NS"
"Td00001aa014017","Zm00001eb006530",-0.561783263684636,-0.733768749116165,0.0934688834597631,"NS","NS","NS"
"Td00001aa014018","Zm00001eb006540",-0.348761297947047,-0.25068643668278,0.744364573774609,"NS","NS","NS"
"Td00001aa014068","Zm00001eb007060",0.0598398373751825,2.19563396405454,3.7614667426821e-11,"NS","Up","NS"
"Td00001aa014113","Zm00001eb007730",-0.183552548572086,0.48480840645826,0.187032626482064,"NS","NS","NS"
"Td00001aa014127","Zm00001eb007860",0.207990863837221,0.134557886659346,0.755272338596701,"NS","NS","NS"
"Td00001aa014170","Zm00001eb008360",1.00282465838104,-0.690886609789903,0.258902824004333,"NS","NS","NS"
"Td00001aa014171","Zm00001eb008370",-0.206523110286229,0.110924558502516,0.815334374443943,"NS","NS","NS"
"Td00001aa014184","Zm00001eb008490",-0.196263051265476,0.271427018823719,0.711856566070118,"NS","NS","NS"
"Td00001aa014188","Zm00001eb008530",-0.43215539053463,0.138629510698417,0.886489956106264,"NS","NS","NS"
"Td00001aa014189","Zm00001eb008550",0.0655583721047127,-0.0482081231932675,0.927324989993709,"NS","NS","NS"
"Td00001aa014206","Zm00001eb008700",0.113616966519132,-0.0589053602995334,0.930441554699914,"NS","NS","NS"
"Td00001aa014214","Zm00001eb008780",0.0475255389322779,-0.0893435294566713,0.890947865436079,"NS","NS","NS"
"Td00001aa014231","Zm00001eb008930",-0.772571909378531,-0.717700736069148,0.159228302479286,"NS","NS","NS"
"Td00001aa014246","Zm00001eb009100",-0.469771151854758,0.203799797821417,0.773054994616643,"NS","NS","NS"
"Td00001aa014253","Zm00001eb009160",0.546714250343145,-0.381559065725269,0.322866559123921,"NS","NS","NS"
"Td00001aa014265","Zm00001eb009340",0.141329587442917,1.00839201078448,0.0165974669623108,"NS","Up","NS"
"Td00001aa014316","Zm00001eb010030",-1.06175343640377,-0.421930726803424,0.213286541674028,"Down","NS","NS"
"Td00001aa014317","Zm00001eb010040",0.898772801084563,0.417742667663358,0.276199983106233,"NS","NS","NS"
"Td00001aa014333","Zm00001eb010200",0.246079147067716,0.0166308900036105,0.980191666409426,"NS","NS","NS"
"Td00001aa014362","Zm00001eb010530",3.43006221938039,-0.277477961264678,0.903497230595973,"Up","NS","NS"
"Td00001aa014389","Zm00001eb010790",-0.128065198355304,-0.201862819505799,0.845030401726001,"NS","NS","NS"
"Td00001aa014391","Zm00001eb010810",-0.43032354808094,-0.185949044997892,0.668053572390954,"NS","NS","NS"
"Td00001aa014405","Zm00001eb011010",-0.385990386456214,0.157317919064548,0.672272227812337,"NS","NS","NS"
"Td00001aa014408","Zm00001eb011020",0.287446324226601,-0.0382693325902845,0.94160050355292,"NS","NS","NS"
"Td00001aa014411","Zm00001eb011050",-0.772009938329833,-0.493716560384902,0.428168222868661,"NS","NS","NS"
"Td00001aa014422","Zm00001eb011150",-0.285008527833626,0.215780953674561,0.603030162232477,"NS","NS","NS"
"Td00001aa014448","Zm00001eb011490",0.0258953827518345,-0.297677108583506,0.554111356341208,"NS","NS","NS"
"Td00001aa014462","Zm00001eb011670",0.0795554603755523,0.57412762232165,0.217214694699367,"NS","NS","NS"
"Td00001aa014474","Zm00001eb011800",0.03759835970155,0.385094396980408,0.170000516096192,"NS","NS","NS"
"Td00001aa014495","Zm00001eb012060",0.283247896257205,0.310819065792285,0.341171681937303,"NS","NS","NS"
"Td00001aa014505","Zm00001eb012140",0.0282626315297885,0.275279421915789,0.567045606845104,"NS","NS","NS"
"Td00001aa014521","Zm00001eb012300",-0.254552036096549,-0.215447222205963,0.544559765176528,"NS","NS","NS"
"Td00001aa014529","Zm00001eb012390",-0.687476660943542,0.767545930294964,0.036050144525027,"NS","NS","NS"
"Td00001aa014550","Zm00001eb012580",-0.674269135028379,-0.870094757541818,0.260845206474171,"NS","NS","NS"
"Td00001aa014554","Zm00001eb012600",0.25109176814939,0.0808070082585578,0.82990651739886,"NS","NS","NS"
"Td00001aa014580","Zm00001eb012860",0.179062321312784,3.0867365344585,0.00845358991682779,"NS","Up","NS"
"Td00001aa014588","Zm00001eb012920",0.699027579185838,-0.0425206272395028,0.929588694378626,"NS","NS","NS"
"Td00001aa014607","Zm00001eb397180",-0.0541268093030016,0.564679888562259,0.0231839342957779,"NS","NS","NS"
"Td00001aa014621","Zm00001eb013220",-0.869483018130311,-0.622273010587369,0.156752610363877,"NS","NS","NS"
"Td00001aa014625","Zm00001eb013270",0.361674160188422,-0.303848898397449,0.475256735121208,"NS","NS","NS"
