protein_id,species,orthogroup,rank,log2FC,DAP,description,go_id,Term,PPV
PvWBCH1.5NG129100.1.v1.1,Pv,OG0014118,43,1.882838655767251,Up,"Outer envelope pore protein 16-2, chloroplastic",NA,NA,NA
PvWBCH1.7KG134800.1.v1.1,Pv,OG0022407,44,1.873813198359087,Up,ATP-dependent 6-phosphofructokinase 2,GO:0006002,fructose 6-phosphate metabolic process,0.750929556865
PvWBCH1.5NG010300.1.v1.1,Pv,OG0009496,45,1.8698714061777129,Up,AAA+ ATPase domain-containing protein,NA,NA,NA
PvWBCH1.4KG275100.1.v1.1,Pv,OG0003555,46,1.8615584195720287,Up,"1,4-alpha-glucan branching enzyme",GO:0005982,starch metabolic process,0.806807521272
PvWBCH1.5KG299900.1.v1.1,Pv,OG0010191,47,1.839959587489532,Up,Malic enzyme,GO:0006090,pyruvate metabolic process,0.665830302144
PvWBCH1.4NG206200.1.v1.1,Pv,OG0001891,48,1.8265993302731016,Up,Phosphoglycerate kinase,GO:0006096,glycolytic process,0.705608039397
PvWBCH1.9NG503500.1.v1.1,Pv,OG0001959,49,1.8221182747293443,Up,chitinase,GO:0000272,polysaccharide catabolic process,0.697243274479
PvWBCH1.5KG283000.1.v1.1,Pv,OG0020387,50,1.7957669477823923,Up,Prenylcysteine oxidase / farnesylcysteine lyase,NA,NA,NA
PvWBCH1.6KG130100.1.v1.1,Pv,OG0016166,51,1.7782085763980875,Up,SMP domain-containing protein,NA,NA,NA
PvWBCH1.9KG103900.1.v1.1,Pv,OG0012283,52,1.7752612923477509,Up,C2 domain-containing protein,NA,NA,NA
PvWBCH1.4KG022800.1.v1.1,Pv,OG0014076,53,1.7672310370238755,Up,Glycine cleavage T-protein family,NA,NA,NA
PvWBCH1.9KG375900.1.v1.1,Pv,OG0020982,54,1.748890542645915,Up,Sucrose synthase,GO:0005982,starch metabolic process,0.53559258229
PvWBCH1.9KG452300.1.v1.1,Pv,OG0022555,55,1.7389839547005117,Up,Hexose transporter,NA,NA,NA
PvWBCH1.9KG321100.1.v1.1,Pv,OG0008463,56,1.7017708223790449,Up,glutathione transferase,GO:0006749,glutathione metabolic process,0.730642943405
PvWBCH1.3KG054000.1.v1.1,Pv,OG0021580,57,1.700883556028269,Up,Glutathione transferase,GO:0006749,glutathione metabolic process,0.681283223468
PvWBCH1.4KG245900.1.v1.1,Pv,NA,58,1.674008608617225,Up,Protein HEAT-STRESS-ASSOCIATED 32,GO:0010608,post-transcriptional regulation of gene ...,0.668704413856
PvWBCH1.8KG100900.1.v1.1,Pv,OG0000289,59,1.6694803718774265,Up,Alcohol dehydrogenase 1,NA,NA,NA
PvWBCH1.9NG341200.1.v1.1,Pv,OG0008483,60,1.6163576969966904,Up,NA,NA,NA,NA
PvWBCH1.6KG070600.1.v1.1,Pv,OG0002679,61,1.5964581395589856,Up,lactoylglutathione lyase,GO:0001101,response to acid chemical,0.350856576404
PvWBCH1.9NG133300.1.v1.1,Pv,OG0025315,62,1.5892841066712498,Up,VOC domain-containing protein,NA,NA,NA
PvWBCH1.5KG009200.1.v1.1,Pv,OG0009496,63,1.5878450092542775,Up,AAA+ ATPase domain-containing protein,NA,NA,NA
PvWBCH1.9NG497900.1.v1.1,Pv,OG0015799,64,1.5840003832857728,Up,Beta-amylase,GO:0005982,starch metabolic process,0.372766146364
PvWBCH1.6NG120700.1.v1.1,Pv,OG0010227,65,1.5811101752255496,Up,UspA domain-containing protein,NA,NA,NA
PvWBCH1.3NG049700.1.v1.1,Pv,OG0021580,66,1.5685185977925435,Up,Glutathione transferase,GO:0006749,glutathione metabolic process,0.687293274825
PvWBCH1.3KG150300.3.v1.1,Pv,NA,67,1.565597175854225,Up,Glucose-1-phosphate adenylyltransferase,GO:0019252,starch biosynthetic process,0.830589326011
PvWBCH1.5KG371100.1.v1.1,Pv,OG0010057,68,1.5602258223996497,Up,"Alpha-glucan phosphorylase, H isozyme",NA,NA,NA
PvWBCH1.9KG074200.1.v1.1,Pv,OG0020553,69,1.5577776713949258,Up,"Alpha-1,4 glucan phosphorylase",NA,NA,NA
PvWBCH1.8KG070500.1.v1.1,Pv,NA,70,1.5523770710948686,Up,Probable mediator of RNA polymerase II transcription subunit 37c,GO:0006457,protein folding,0.676216131776
PvWBCH1.3KG026500.1.v1.1,Pv,OG0015161,71,1.5518851034717247,Up,WIBG Mago-binding domain-containing protein,NA,NA,NA
PvWBCH1.6NG228400.1.v1.1,Pv,OG0018363,72,1.5205479681065774,Up,monodehydroascorbate reductase (NADH),NA,NA,NA
PvWBCH1.7KG230700.1.v1.1,Pv,OG0010336,73,1.4931349223055048,Up,"Multiple organellar RNA editing factor 2, chloroplastic",GO:0006397,mRNA processing,0.450590116317
PvWBCH1.9KG020900.1.v1.1,Pv,OG0024301,74,1.4905701304462011,Up,AB hydrolase-1 domain-containing protein,NA,NA,NA
PvWBCH1.3KG148200.1.v1.1,Pv,OG0022194,75,1.4724877714627436,Up,Water stress and hypersensitive response domain-containing protein,NA,NA,NA
PvWBCH1.9NG285000.1.v1.1,Pv,OG0018850,76,1.467801156488407,Up,Serine/threonine-protein kinase SAPK3,NA,NA,NA
PvWBCH1.3NG130600.1.v1.1,Pv,OG0024802,77,1.438825113175625,Up,Nucleoside diphosphate kinase,NA,NA,NA
PvWBCH1.6KG070500.2.v1.1,Pv,NA,78,1.4382928515791469,Up,lactoylglutathione lyase,GO:0001101,response to acid chemical,0.351855191041
PvWBCH1.7KG055700.1.v1.1,Pv,OG0000200,79,1.4340276746635974,Up,Probable aldo-keto reductase 2,NA,NA,NA
PvWBCH1.1KG063300.1.v1.1,Pv,OG0000224,80,1.4318903482861804,Up,H(+)-exporting diphosphatase,NA,NA,NA
PvWBCH1.4NG138000.1.v1.1,Pv,OG0022089,81,1.4265331381166733,Up,DJ-1/PfpI domain-containing protein,NA,NA,NA
PvWBCH1.8NG151200.1.v1.1,Pv,OG0006567,82,1.4141355329844512,Up,RNA polymerase II transcription elongation factor DSIF/SUPT5H/SPT5,GO:0005982,starch metabolic process,0.823913810702
PvWBCH1.9KG437600.1.v1.1,Pv,OG0023753,83,1.4125105712498047,Up,Senescence domain-containing protein,NA,NA,NA
PvWBCH1.6KG019300.1.v1.1,Pv,OG0008874,84,1.4097982278284196,Up,L-gulonolactone oxidase,NA,NA,NA
PvWBCH1.5KG046700.1.v1.1,Pv,OG0021874,85,1.4043581948333117,Up,galactinol--sucrose galactosyltransferase,GO:0009414,response to water deprivation,0.593133749592
PvWBCH1.1KG060800.1.v1.1,Pv,OG0007321,86,1.4021764249794826,Up,"Chaperone protein ClpB3, mitochondrial",GO:0034605,cellular response to heat,0.744665487095
PvWBCH1.6KG147500.1.v1.1,Pv,OG0032047,87,1.4016304665847406,Up,L-gulonolactone oxidase,NA,NA,NA
PvWBCH1.3NG101500.1.v1.1,Pv,OG0000332,88,1.3939652756602423,Up,glutathione transferase,GO:0042542,response to hydrogen peroxide,0.34856202436
PvWBCH1.7KG117800.1.v1.1,Pv,OG0000523,89,1.3923174227787602,Up,NADP-dependent oxidoreductase domain-containing protein,NA,NA,NA
PvWBCH1.9NG286200.1.v1.1,Pv,OG0016457,90,1.3923174227787602,Up,peptide-methionine (S)-S-oxide reductase,GO:0009651,response to salt stress,0.543612486598
PvWBCH1.9NG442300.1.v1.1,Pv,OG0021022,91,1.3679301414318827,Up,Heat shock 70 kDa protein 8,GO:0006457,protein folding,0.67628748466
PvWBCH1.7KG056200.1.v1.1,Pv,OG0001450,92,1.3668117731271272,Up,NADP-dependent oxidoreductase domain-containing protein,NA,NA,NA
PvWBCH1.5KG232200.1.v1.1,Pv,OG0000566,93,1.3656925371975326,Up,Cytochrome P450 family 72 subfamily A polypeptide 8,NA,NA,NA
PvWBCH1.1KG197100.2.v1.1,Pv,NA,94,1.3516283291027824,Up,glutathione transferase,GO:0006749,glutathione metabolic process,0.699634110953
PvWBCH1.7KG104200.1.v1.1,Pv,OG0018545,95,1.34255474547732,Up,L-ascorbate peroxidase,NA,NA,NA
PvWBCH1.4KG085600.1.v1.1,Pv,OG0024817,96,1.3362833878644322,Up,Pyruvate dehydrogenase E1 component subunit alpha,NA,NA,NA
PvWBCH1.9NG186500.1.v1.1,Pv,OG0045335,97,1.3132458517875614,Up,AB hydrolase-1 domain-containing protein,NA,NA,NA
PvWBCH1.4KG161300.1.v1.1,Pv,OG0022089,98,1.3097582714246352,Up,DJ-1/PfpI domain-containing protein,NA,NA,NA
PvWBCH1.1KG339700.1.v1.1,Pv,NA,99,1.2992446577960728,Up,17.4 kDa class III heat shock protein-like,GO:0006457,protein folding,0.636399332357
PvWBCH1.5NG174900.1.v1.1,Pv,OG0002237,100,1.2974849157105748,Up,RNA helicase,GO:0006397,mRNA processing,0.342226374245
PvWBCH1.5KG249400.1.v1.1,Pv,OG0005961,101,1.2898344651775089,Up,Iron-sulfur cluster assembly protein,NA,NA,NA
PvWBCH1.9KG321200.1.v1.1,Pv,OG0008463,102,1.2851062510612534,Up,glutathione transferase,GO:0006749,glutathione metabolic process,0.730642393781
PvWBCH1.2NG368100.4.v1.1,Pv,NA,103,1.2851062510612534,Up,Eukaryotic translation initiation factor 6,NA,NA,NA
PvWBCH1.3KG126400.1.v1.1,Pv,OG0017216,104,1.282736320276342,Up,Early fruit mRNA,NA,NA,NA
PvWBCH1.3KG241300.6.v1.1,Pv,NA,105,1.2815498933666418,Up,Actin,NA,NA,NA
PvWBCH1.7NG293600.1.v1.1,Pv,OG0010616,106,1.2600256559614555,Up,4-coumarate--CoA ligase,GO:0050832,defense response to fungus,0.516424822731
PvWBCH1.7NG243500.1.v1.1,Pv,OG0006047,107,1.259423152281415,Up,"Gamma-aminobutyrate transaminase 1, mitochondrial",NA,NA,NA
PvWBCH1.3KG355300.1.v1.1,Pv,OG0026987,108,1.2588203968764118,Up,9beta-hydroxy-syn-pimar-15-ene synthase,NA,NA,NA
PvWBCH1.7KG293000.1.v1.1,Pv,OG0013374,109,1.252778951528184,Up,K(+) efflux antiporter 2 chloroplastic,NA,NA,NA
PvWBCH1.5KG315300.1.v1.1,Pv,OG0000620,110,1.2332745389909343,Up,Formamidase,NA,NA,NA
PvWBCH1.4KG111200.1.v1.1,Pv,OG0008608,111,1.231432408447965,Up,"Formate dehydrogenase, mitochondrial",NA,NA,NA
PvWBCH1.4KG151300.2.v1.1,Pv,NA,112,1.2240402742179302,Up,Reticulon-like protein (Fragment),NA,NA,NA
PvWBCH1.6KG004600.1.v1.1,Pv,OG0005315,113,1.2234225499349372,Up,SLH domain-containing protein,NA,NA,NA
PvWBCH1.4NG073500.1.v1.1,Pv,OG0024817,114,1.2209490044667792,Up,Pyruvate dehydrogenase E1 component subunit alpha,NA,NA,NA
PvWBCH1.2KG240500.1.v1.1,Pv,OG0009116,115,1.2209490044667792,Up,Isoamylase-type starch debranching enzyme3,NA,NA,NA
PvWBCH1.4KG219500.1.v1.1,Pv,OG0000224,116,1.2184712107432616,Up,H(+)-exporting diphosphatase,NA,NA,NA
PvWBCH1.5NG286600.1.v1.1,Pv,OG0010191,117,1.2178510968111314,Up,Malic enzyme,GO:0006090,pyruvate metabolic process,0.663689954634
PvWBCH1.4NG094400.1.v1.1,Pv,OG0008608,118,1.2085172598055438,Up,"Formate dehydrogenase, mitochondrial",NA,NA,NA
PvWBCH1.4KG117700.1.v1.1,Pv,OG0011230,119,1.207892851641333,Up,Selenoprotein O,GO:0009414,response to water deprivation,0.568718119847
PvWBCH1.9KG021600.1.v1.1,Pv,OG0018028,120,1.207892851641333,Up,Galactokinase,NA,NA,NA
PvWBCH1.3NG084400.1.v1.1,Pv,OG0000835,121,1.1991226420136007,Up,Serine/arginine-rich splicing factor RS2Z32,GO:0006397,mRNA processing,0.428786795382
PvWBCH1.6NG124400.1.v1.1,Pv,OG0017871,122,1.1953475983222193,Up,NA,NA,NA,NA
PvWBCH1.9KG499400.1.v1.1,Pv,OG0000286,123,1.1940870521163025,Up,Cell division cycle protein 48 homolog,NA,NA,NA
PvWBCH1.3KG334800.1.v1.1,Pv,OG0000670,124,1.18840092460321,Up,ABC transporter domain-containing protein,NA,NA,NA
PvWBCH1.8KG091300.1.v1.1,Pv,OG0016204,125,1.1871342914745355,Up,"Light-induced protein, chloroplastic",NA,NA,NA
PvWBCH1.3KG138400.1.v1.1,Pv,OG0024802,126,1.176960992089442,Up,Nucleoside diphosphate kinase,NA,NA,NA
PvWBCH1.9KG319800.1.v1.1,Pv,OG0045376,127,1.175045486110914,Up,glutathione transferase,GO:0006749,glutathione metabolic process,0.730641966943
PvWBCH1.8NG128600.1.v1.1,Pv,OG0003792,128,1.1705660567920686,Up,"Succinate dehydrogenase assembly factor 2, mitochondrial",NA,NA,NA
PvWBCH1.1NG098700.1.v1.1,Pv,OG0025413,129,1.1641426488483064,Up,Sodium/calcium exchanger family protein / calcium-binding EF hand family protein,NA,NA,NA
PvWBCH1.1KG200800.1.v1.1,Pv,OG0003478,130,1.1596291858212278,Up,Gibberellin receptor GID1L2,NA,NA,NA
PvWBCH1.9KG328200.1.v1.1,Pv,OG0026957,131,1.1551015581257025,Up,"Pyruvate, phosphate dikinase",GO:0006090,pyruvate metabolic process,0.692519729681
PvWBCH1.3NG181100.1.v1.1,Pv,OG0002505,132,1.1551015581257025,Up,ATP-dependent 6-phosphofructokinase,GO:0006002,fructose 6-phosphate metabolic process,0.76001737375
PvWBCH1.9NG371600.1.v1.1,Pv,OG0021543,133,1.14860877020522,Up,"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)",GO:0006096,glycolytic process,0.703679184112
PvWBCH1.7NG099500.1.v1.1,Pv,OG0023572,134,1.142740172116082,Up,"1,4-alpha-glucan branching enzyme",GO:0005982,starch metabolic process,0.821549990366
PvWBCH1.2KG138800.1.v1.1,Pv,OG0017379,135,1.1414327909292956,Up,monodehydroascorbate reductase (NADH),NA,NA,NA
PvWBCH1.6KG252500.1.v1.1,Pv,OG0001963,136,1.139469495038796,Up,"Malate dehydrogenase [NADP], chloroplastic",NA,NA,NA
PvWBCH1.2KG347500.1.v1.1,Pv,OG0013076,137,1.138814468902282,Up,"Bifunctional monothiol glutaredoxin-S16, chloroplastic",NA,NA,NA
PvWBCH1.1KG050400.2.v1.1,Pv,NA,138,1.1309308698264486,Up,hydroxymethylbilane synthase,NA,NA,NA
PvWBCH1.2KG159700.5.v1.1,Pv,NA,139,1.1249897699786635,Up,4-coumarate--CoA ligase,NA,NA,NA
PvWBCH1.4KG144600.1.v1.1,Pv,OG0014192,140,1.1210154009613658,Up,"Alpha-glucan water dikinase, chloroplastic",GO:0009631,cold acclimation,0.53495531017
PvWBCH1.9KG341600.1.v1.1,Pv,OG0002760,141,1.111031312388744,Up,S-norcoclaurine synthase 1,NA,NA,NA
PvWBCH1.2NG099400.2.v1.1,Pv,NA,142,1.106348319505147,Up,"Starch synthase, chloroplastic/amyloplastic",GO:0019252,starch biosynthetic process,0.830589605274
PvWBCH1.5NG357200.1.v1.1,Pv,OG0010057,143,1.1003049057956855,Up,"Alpha-glucan phosphorylase, H isozyme",NA,NA,NA
PvWBCH1.7KG291000.1.v1.1,Pv,OG0018478,144,1.0996318500144604,Up,Stem-specific protein TSJT1,NA,NA,NA
PvWBCH1.4KG237100.3.v1.1,Pv,NA,145,1.0982847957234223,Up,Phosphoglycerate kinase,GO:0006096,glycolytic process,0.705608046968
PvWBCH1.9KG379800.1.v1.1,Pv,OG0013853,146,1.0976107966264224,Up,ABC transporter domain-containing protein,NA,NA,NA
PvWBCH1.6KG114300.1.v1.1,Pv,OG0000898,147,1.092207438097089,Up,C2H2-type domain-containing protein,NA,NA,NA
PvWBCH1.1NG143900.1.v1.1,Pv,OG0013655,148,1.087462841250339,Up,Cysteine protease1,NA,NA,NA
PvWBCH1.9KG533800.1.v1.1,Pv,OG0013540,149,1.081339627451939,Up,"Protein tyrosine phosphatase, putative, expressed",GO:0000272,polysaccharide catabolic process,0.514179986998
PvWBCH1.5KG263500.1.v1.1,Pv,OG0044901,150,1.0758748669751277,Up,chitinase,GO:0006032,chitin catabolic process,0.39764219158
PvWBCH1.4KG001600.1.v1.1,Pv,OG0020546,151,1.073134704630215,Up,"homogentisate 1,2-dioxygenase",NA,NA,NA
PvWBCH1.3KG211600.1.v1.1,Pv,OG0018765,152,1.0683268614345056,Up,"glutamate-1-semialdehyde 2,1-aminomutase",NA,NA,NA
PvWBCH1.5NG112200.1.v1.1,Pv,OG0008882,153,1.0676387168753634,Up,Cysteine proteinase inhibitor,NA,NA,NA
PvWBCH1.9NG341500.1.v1.1,Pv,OG0016503,154,1.0648828515848543,Up,Co-chaperone protein p23,GO:0006457,protein folding,0.667353413218
PvWBCH1.4NG080700.1.v1.1,Pv,OG0011009,155,1.061430600497748,Up,Starch synthase catalytic domain-containing protein,GO:0019252,starch biosynthetic process,0.830589482177
PvWBCH1.9NG518000.1.v1.1,Pv,OG0010399,156,1.05866283937856,Up,T-complex protein 1 subunit delta,GO:0006457,protein folding,0.676287536119
PvWBCH1.4KG010300.2.v1.1,Pv,NA,157,1.0572769650732476,Up,"RuBisCO large subunit-binding protein subunit beta, chloroplastic",NA,NA,NA
PvWBCH1.7NG050900.1.v1.1,Pv,OG0024036,158,1.0551956542421246,Up,transketolase,NA,NA,NA
PvWBCH1.5KG333000.1.v1.1,Pv,OG0008092,159,1.0551956542421246,Up,protein-disulfide reductase,NA,NA,NA
PvWBCH1.9NG449100.1.v1.1,Pv,OG0019003,160,1.0510240030244669,Up,Nodulin-related protein 1,GO:0009408,response to heat,0.726058559188
PvWBCH1.8NG114700.1.v1.1,Pv,OG0003002,161,1.0510240030244669,Up,NA,NA,NA,NA
PvWBCH1.2KG291400.1.v1.1,Pv,OG0011920,162,1.0461417816447207,Up,UspA domain-containing protein,NA,NA,NA
PvWBCH1.3KG338700.1.v1.1,Pv,OG0018312,163,1.041943829970167,Up,Aminopeptidase,NA,NA,NA
PvWBCH1.7NG127400.1.v1.1,Pv,OG0000523,164,1.0264459803038009,Up,NADP-dependent oxidoreductase domain-containing protein,NA,NA,NA
PvWBCH1.8KG094400.1.v1.1,Pv,OG0016860,165,1.0250287944915224,Up,NA,NA,NA,NA
PvWBCH1.9NG279200.1.v1.1,Pv,OG0018835,166,1.016496319896196,Up,60S ribosomal export protein NMD3,NA,NA,NA
PvWBCH1.5KG033000.1.v1.1,Pv,OG0009529,167,1.016496319896196,Up,Fe2OG dioxygenase domain-containing protein,NA,NA,NA
PvWBCH1.4KG210900.1.v1.1,Pv,OG0021310,168,1.01435529297707,Up,Glutaredoxin-dependent peroxiredoxin,NA,NA,NA
PvWBCH1.3NG389900.1.v1.1,Pv,OG0026755,169,1.01435529297707,Up,CP-type G domain-containing protein,NA,NA,NA
PvWBCH1.9NG214900.1.v1.1,Pv,OG0013356,170,1.0136409106693862,Up,H(+)/Pi cotransporter,NA,NA,NA
PvWBCH1.2NG216600.1.v1.1,Pv,OG0009116,171,1.0114956388378291,Up,Isoamylase-type starch debranching enzyme3,NA,NA,NA
PvWBCH1.3NG401800.1.v1.1,Pv,OG0000744,172,1.0036022366801955,Up,AB hydrolase-1 domain-containing protein,NA,NA,NA
PvWBCH1.1NG355800.1.v1.1,Pv,OG0017995,173,1.0028825085331214,Up,DUF6817 domain-containing protein (Fragment),NA,NA,NA
PvWBCH1.2KG168900.3.v1.1,Pv,NA,174,1.000721167243654,Up,Ferrochelatase,NA,NA,NA
Sn00001aa067886_T001,Sn,NA,1,3.0652276227756188,Up,Barwin domain-containing protein,GO:0050832,defense response to fungus,0.799238170991
Sn00001aa051893_T001,Sn,OG0006941,2,3.032100843167024,Up,Zeamatin,GO:0050832,defense response to fungus,0.798769843647
Sn00001aa056018_T001,Sn,OG0022470,3,2.8155754288625725,Up,ABA-inducible protein PHV A1,NA,NA,NA
Sn00001aa050399_T001,Sn,OG0001959,4,2.785550551739256,Up,chitinase,GO:0000272,polysaccharide catabolic process,0.666599558752
Sn00001aa069853_T001,Sn,NA,5,2.650994269338053,Up,NA,NA,NA,NA
Sn00001aa062552_T001,Sn,OG0001959,6,2.5258183220340236,Up,chitinase,GO:0000272,polysaccharide catabolic process,0.660151933909
Sn00001aa004579_T001,Sn,OG0009444,7,2.498761465671852,Up,NA,GO:0009737,response to abscisic acid,0.807294229562
Sn00001aa010391_T001,Sn,NA,8,2.47534433714261,Up,UDP-glucose 4-epimerase GEPI48,NA,NA,NA
Sn00001aa092671_T001,Sn,OG0013697,9,2.4081683707081063,Up,Aldehyde reductase,NA,NA,NA
Sn00001aa030610_T001,Sn,OG0022407,10,2.323370069061269,Up,ATP-dependent 6-phosphofructokinase 2,GO:0006002,fructose 6-phosphate metabolic process,0.752367032691
Sn00001aa010629_T001,Sn,OG0008528,11,2.3115031154682697,Up,Safener induced1,NA,NA,NA
Sn00001aa014488_T001,Sn,OG0025089,12,2.2451913930643084,Up,"Outer envelope pore protein 16-2, chloroplastic",NA,NA,NA
Sn00001aa060716_T002,Sn,OG0017067,13,2.2332745389909343,Up,Tryptophan synthase,GO:0000162,tryptophan biosynthetic process,0.73094403291
Sn00001aa002111_T004,Sn,OG0016454,14,2.2252749298695695,Up,"39 kDa EF-Hand containing protein, putative, expressed",NA,NA,NA
Sn00001aa005515_T001,Sn,OG0000642,15,2.215678596607928,Up,Glutathione S-transferase,GO:0006749,glutathione metabolic process,0.72943904925
Sn00001aa050948_T001,Sn,OG0002524,16,2.2094533656289497,Up,GRAM domain-containing protein,NA,NA,NA
Sn00001aa099345_T002,Sn,OG0023941,17,2.2035144111307585,Up,Protein HEAT-STRESS-ASSOCIATED 32,GO:0010608,post-transcriptional regulation of gene ...,0.658081463734
Sn00001aa011441_T001,Sn,OG0018330,18,2.200378797984026,Up,Blue fluorescent1,GO:0000162,tryptophan biosynthetic process,0.730867596498
Sn00001aa035637_T001,Sn,OG0024384,19,2.1414327909292954,Up,Golgi apparatus membrane protein TVP15,NA,NA,NA
Sn00001aa088201_T001,Sn,OG0013568,20,2.1358631653686793,Up,Calcium-transporting ATPase,GO:0009414,response to water deprivation,0.445658827442
Sn00001aa000144_T001,Sn,OG0018330,21,2.126312130328704,Up,Blue fluorescent1,GO:0000162,tryptophan biosynthetic process,0.730867710321
Sn00001aa010461_T001,Sn,OG0021543,22,2.037733627446515,Up,"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)",GO:0006096,glycolytic process,0.705608069721
Sn00001aa040888_T001,Sn,OG0009496,23,1.973794929652606,Up,AAA+ ATPase domain-containing protein,NA,NA,NA
Sn00001aa014825_T001,Sn,OG0021022,24,1.8773516264492625,Up,Heat shock 70 kDa protein 8,GO:0006457,protein folding,0.676287481001
Sn00001aa103117_T001,Sn,OG0013692,25,1.8619553641448696,Up,NA,NA,NA,NA
Sn00001aa080797_T001,Sn,OG0016973,26,1.8507994231254832,Up,Reticulon-like protein (Fragment),GO:0000162,tryptophan biosynthetic process,0.380681747245
Sn00001aa001175_T001,Sn,OG0021543,27,1.8143453349632197,Up,"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)",GO:0006096,glycolytic process,0.703685512569
Sn00001aa006179_T001,Sn,OG0015482,28,1.77568270173906,Up,DUF255 domain-containing protein,NA,NA,NA
Sn00001aa082341_T001,Sn,OG0024036,29,1.751892138404309,Up,transketolase,NA,NA,NA
Sn00001aa086694_T001,Sn,OG0010361,30,1.6544355408453997,Up,Glucose-1-phosphate adenylyltransferase,GO:0019252,starch biosynthetic process,0.825565761558
Sn00001aa041377_T001,Sn,OG0000288,31,1.652142272136664,Up,Class I heat shock protein 1,GO:0006457,protein folding,0.590369258006
Sn00001aa023333_T004,Sn,OG0000289,32,1.6290068334271774,Up,Alcohol dehydrogenase 1,NA,NA,NA
Sn00001aa072988_T001,Sn,NA,33,1.5959809789656203,Up,Pyruvate dehydrogenase E1 component subunit alpha,NA,NA,NA
Sn00001aa073864_T002,Sn,NA,34,1.5940707568515382,Up,DJ-1/PfpI domain-containing protein,NA,NA,NA
Sn00001aa045518_T001,Sn,OG0005483,35,1.5680321047712789,Up,Class II heat shock protein,GO:0006457,protein folding,0.454322375376
Sn00001aa008298_T001,Sn,OG0005710,36,1.5621813564718672,Up,UspA domain-containing protein,NA,NA,NA
Sn00001aa007255_T001,Sn,OG0007798,37,1.5400272692575072,Up,Glutathione S-transferase,GO:0006749,glutathione metabolic process,0.730638987866
Sn00001aa021863_T001,Sn,OG0008882,38,1.5315686088149625,Up,Cysteine proteinase inhibitor,NA,NA,NA
Sn00001aa006768_T001,Sn,OG0012924,39,1.467801156488407,Up,Cysteine proteinase inhibitor,NA,NA,NA
Sn00001aa023974_T001,Sn,OG0024297,40,1.45575462218619,Up,Dipeptidylpeptidase IV N-terminal domain-containing protein,NA,NA,NA
Sn00001aa053988_T001,Sn,OG0019331,41,1.43349363984688,Up,TATA-binding protein interacting (TIP20) domain-containing protein,NA,NA,NA
Sn00001aa100959_T001,Sn,OG0022195,42,1.4021764249794826,Up,Glucose-1-phosphate adenylyltransferase,GO:0019252,starch biosynthetic process,0.830589307648
Sn00001aa001519_T001,Sn,OG0020952,43,1.3555801473773594,Up,Clp R domain-containing protein,GO:0034605,cellular response to heat,0.748594585708
Sn00001aa092320_T001,Sn,OG0000823,44,1.3538878362849074,Up,Glutathione S-transferase,GO:0006749,glutathione metabolic process,0.729899648905
Sn00001aa065278_T001,Sn,NA,45,1.3533232911628967,Up,"Fructose-1,6-bisphosphatase, cytosolic",GO:0009737,response to abscisic acid,0.357856419506
Sn00001aa089776_T001,Sn,NA,46,1.3253864146597734,Up,tryptophan synthase,GO:0000162,tryptophan biosynthetic process,0.730940596234
Sn00001aa008159_T001,Sn,NA,47,1.2998307618223703,Up,CobW C-terminal domain-containing protein,NA,NA,NA
Sn00001aa031675_T002,Sn,OG0003720,48,1.2738142445870366,Up,Dienelactone hydrolase domain-containing protein,NA,NA,NA
Sn00001aa007068_T001,Sn,OG0010191,49,1.2732174731034955,Up,Malic enzyme,GO:0006090,pyruvate metabolic process,0.659334018957
Sn00001aa012896_T001,Sn,OG0017439,50,1.254594043033141,Up,Peroxidase,NA,NA,NA
Sn00001aa014328_T001,Sn,OG0020982,51,1.252778951528184,Up,Sucrose synthase,GO:0005982,starch metabolic process,0.535943020122
Sn00001aa046971_T001,Sn,OG0016350,52,1.229587922740652,Up,Pi starvation-induced protein,NA,NA,NA
Sn00001aa050368_T002,Sn,OG0021387,53,1.1763227726404628,Up,Hcy-binding domain-containing protein,NA,NA,NA
Sn00001aa050960_T001,Sn,OG0000670,54,1.1692836611157298,Up,ABC transporter domain-containing protein,NA,NA,NA
Sn00001aa069832_T001,Sn,OG0007321,55,1.1654296204241852,Up,"Chaperone protein ClpB4, mitochondrial",GO:0034605,cellular response to heat,0.74774820813
Sn00001aa029587_T002,Sn,OG0023544,56,1.160920188181103,Up,DJ-1 homolog D,NA,NA,NA
Sn00001aa090816_T002,Sn,OG0015584,57,1.144699025154139,Up,ATP/GTP-binding protein family,NA,NA,NA
Sn00001aa043654_T003,Sn,OG0001000,58,1.1056780778945372,Up,cinnamyl-alcohol dehydrogenase,NA,NA,NA
Sn00001aa009411_T002,Sn,NA,59,1.1056780778945372,Up,Pathogen induced protein 2-4,NA,NA,NA
Sn00001aa096746_T001,Sn,OG0001078,60,1.065572311593622,Up,2-isopropylmalate synthase,NA,NA,NA
Sn00001aa010450_T001,Sn,OG0018947,61,1.0384361816561078,Up,hydroxyacylglutathione hydrolase,NA,NA,NA
Sn00001aa030309_T001,Sn,OG0013561,62,1.0349199843491597,Up,Adenosine kinase,NA,NA,NA
Sn00001aa057774_T002,Sn,NA,63,1.0264459803038009,Up,Ferritin,NA,NA,NA
