rank,species,protein_id,orthogroup,log2FC,DAP,description,BP
29,Trip19,Td00001aa033308_T001,OG0000288,2.0799753767206,Up,Class I heat shock protein 1,protein folding
30,Trip19,Td00001aa024207_T001,OG0012032,2.0621217119078,Up,Actin-depolymerizing factor 3,actin filament depolymerization
31,Trip19,Td00001aa027099_T003,NA,2.01899017538475,Up,Fe2OG dioxygenase domain-containing protein,biosynthetic process
32,Trip19,Td00001aa025429_T004,OG0013350,2.00108161572545,Up,Protein DETOXIFICATION,xenobiotic detoxification by transmembrane export across the plasma membrane
33,Trip19,Td00001aa008985_T001,OG0005483,1.97452931248388,Up,Small heat shock protein HSP17.8,protein folding
34,Trip19,Td00001aa019363_T002,OG0008548,1.89878879711155,Up,phosphoenolpyruvate carboxykinase (ATP),gluconeogenesis
35,Trip19,Td00001aa003480_T001,OG0005710,1.89103026784092,Up,UspA domain-containing protein,response to cold
36,Trip19,Td00001aa019280_T001,OG0000034,1.86591881455221,Up,Heat shock protein 70,protein folding
37,Trip19,Td00001aa037279_T002,OG0008674,1.82007682109751,Up,"Starch synthase, chloroplastic/amyloplastic",starch biosynthetic process
38,Trip19,Td00001aa001511_T001,OG0014697,1.79659775404831,Up,glutathione transferase,glutathione metabolic process
39,Trip19,Td00001aa033621_T001,OG0005483,1.79327165449808,Up,Small heat shock protein HSP17.8,protein folding
40,Trip19,Td00001aa039232_T002,OG0002524,1.78826808286684,Up,GRAM domain-containing protein,maintenance of seed dormancy by absisic acid
41,Trip19,Td00001aa003277_T001,OG0005728,1.7578766597479,Up,Phloem-specific lectin,NA
42,Trip19,Td00001aa040575_T001,OG0001162,1.73984810269933,Up,NA,NA
43,Trip19,Td00001aa027713_T001,OG0014866,1.70884937710518,Up,"Acetyltransferase, GNAT family protein, expressed",NA
44,Trip19,Td00001aa007022_T003,OG0000566,1.67807190511264,Up,Cytochrome P450 family 72 subfamily A polypeptide 8,lipid metabolic process
45,Trip19,Td00001aa002372_T002,OG0026582,1.67400860861723,Up,"Starch synthase, chloroplastic/amyloplastic",starch biosynthetic process
46,Trip19,Td00001aa038053_T001,OG0037479,1.65260121759652,Up,"Starch synthase, chloroplastic/amyloplastic",starch biosynthetic process
47,Trip19,Td00001aa020162_T001,OG0015977,1.63273352595054,Up,W2 domain-containing protein,NA
48,Trip19,Td00001aa041578_T002,OG0000110,1.61306010689612,Up,Heat shock protein 83,protein folding
49,Trip19,Td00001aa012013_T001,OG0008132,1.60169651648096,Up,adenylate kinase,nucleoside monophosphate phosphorylation
50,Trip19,Td00001aa014170_T002,OG0011183,1.59836520532364,Up,inositol-3-phosphate synthase,inositol biosynthetic process
1,Trip22,Td00001aa022594_T002,OG0022470,5.15286983726258,Up,"Late embryogenesis abundant protein, group 3",cold acclimation
2,Trip22,Td00001aa040338_T001,OG0051958,4.46209581983767,Up,Abscisic stress ripening,NA
3,Trip22,Td00001aa042603_T001,OG0020846,4.01716732894824,Up,NA,NA
4,Trip22,Td00001aa014362_T001,OG0016578,3.75210187624437,Up,"Heat shock protein, chloroplastic",response to heat
5,Trip22,Td00001aa029496_T001,OG0016115,3.62932009661684,Up,22.0 kDa class IV heat shock protein-like,protein folding
6,Trip22,Td00001aa033307_T001,OG0000288,3.62361199877895,Up,Class I heat shock protein 1,protein folding
7,Trip22,Td00001aa039438_T001,OG0015161,3.56106245486314,Up,WIBG Mago-binding domain-containing protein,NA
8,Trip22,Td00001aa012719_T001,OG0010710,3.49115946660423,Up,chitinase,polysaccharide catabolic process
9,Trip22,Td00001aa026590_T004,OG0016454,3.31048923636263,Up,"39 kDa EF-Hand containing protein, putative, expressed",NA
10,Trip22,Td00001aa033192_T001,OG0000288,3.10600439833267,Up,16.9 kDa class I heat shock protein 1,protein folding
11,Trip22,Td00001aa022969_T001,OG0013697,3.00185831055543,Up,Aldose reductase,prostaglandin biosynthetic process
12,Trip22,Td00001aa019280_T001,OG0000034,2.84663795876977,Up,Heat shock protein 70,protein folding
13,Trip22,Td00001aa032866_T001,OG0014118,2.83079195291855,Up,"Outer envelope pore protein 16-2, chloroplastic",amino acid transmembrane transport
14,Trip22,Td00001aa004040_T001,OG0009809,2.82923915273416,Up,Dehydrin,cold acclimation
15,Trip22,Td00001aa004295_T001,OG0012515,2.81770281159142,Up,Temperature-induced lipocalin,response to reactive oxygen species
16,Trip22,Td00001aa029174_T001,OG0010710,2.66542749919589,Up,chitinase,polysaccharide catabolic process
17,Trip22,Td00001aa040575_T001,OG0001162,2.6468049312422,Up,NA,NA
18,Trip22,Td00001aa024379_T002,OG0012053,2.57830625764065,Up,Stem-specific protein TSJT1,NA
19,Trip22,Td00001aa002232_T001,OG0014638,2.56882364389705,Up,NA,NA
20,Trip22,Td00001aa021652_T001,OG0022704,2.49441149662558,Up,Aconitate hydratase,cellular aldehyde metabolic process
21,Trip22,Td00001aa033308_T001,OG0000288,2.47147107764907,Up,Class I heat shock protein 1,protein folding
22,Trip22,Td00001aa038053_T001,OG0037479,2.31393466521083,Up,"Starch synthase, chloroplastic/amyloplastic",starch biosynthetic process
23,Trip22,Td00001aa029231_T001,OG0013447,2.30336577348362,Up,Malate synthase,glyoxylate cycle
24,Trip22,Td00001aa033760_T001,OG0009509,2.26760181332722,Up,Heme-binding protein 2,NA
25,Trip22,Td00001aa008985_T001,OG0005483,2.23839749777842,Up,Small heat shock protein HSP17.8,protein folding
26,Trip22,Td00001aa019363_T002,OG0008548,2.21222440575296,Up,phosphoenolpyruvate carboxykinase (ATP),gluconeogenesis
27,Trip22,Td00001aa039232_T002,OG0002524,2.19856578703108,Up,GRAM domain-containing protein,maintenance of seed dormancy by absisic acid
28,Trip22,Td00001aa027028_T002,OG0014966,2.18723137671358,Up,Protein DETOXIFICATION,xenobiotic detoxification by transmembrane export across the plasma membrane
29,Trip22,Td00001aa007217_T002,OG0010227,2.15470966559879,Up,UspA domain-containing protein,NA
30,Trip22,Td00001aa019065_T001,OG0005483,2.12670543560304,Up,Small heat shock protein HSP17.8,protein folding
31,Trip22,Td00001aa002847_T001,OG0001162,2.12593693016137,Up,Cylicin-1,translation
32,Trip22,Td00001aa003480_T001,OG0005710,2.11911379050249,Up,UspA domain-containing protein,response to cold
33,Trip22,Td00001aa002603_T003,OG0011742,2.08634453136465,Up,Chloroplast mRNA-binding protein CSP41 (Fragment),monosaccharide metabolic process
34,Trip22,Td00001aa035379_T002,OG0004961,1.9720120328064,Up,Fe2OG dioxygenase domain-containing protein,NA
35,Trip22,Td00001aa014878_T002,OG0020982,1.96480823701547,Up,Sucrose synthase,starch metabolic process
36,Trip22,Td00001aa037279_T002,OG0008674,1.94483175247498,Up,"Starch synthase, chloroplastic/amyloplastic",starch biosynthetic process
37,Trip22,Td00001aa001268_T005,OG0013614,1.93542222127546,Up,Beta-glucosidase 31,carbohydrate metabolic process
38,Trip22,Td00001aa027912_T001,OG0024297,1.91560856990097,Up,Dipeptidylpeptidase IV N-terminal domain-containing protein,NA
39,Trip22,Td00001aa010483_T001,OG0010191,1.88407057170545,Up,Malic enzyme,pyruvate metabolic process
40,Trip22,Td00001aa001511_T001,OG0014697,1.82096946220412,Up,glutathione transferase,glutathione metabolic process
41,Trip22,Td00001aa007570_T001,OG0005796,1.78930961136018,Up,Peroxidase,hydrogen peroxide catabolic process
42,Trip22,Td00001aa002372_T002,OG0026582,1.7666852950229,Up,"Starch synthase, chloroplastic/amyloplastic",starch biosynthetic process
43,Trip22,Td00001aa020796_T002,OG0010361,1.76667903044458,Up,Glucose-1-phosphate adenylyltransferase,starch biosynthetic process
44,Trip22,Td00001aa041145_T001,OG0021221,1.75967378190207,Up,Small GTP binding protein Rab5,protein transport
45,Trip22,Td00001aa013828_T001,OG0010777,1.69482436171345,Up,SMP domain-containing protein,NA
46,Trip22,Td00001aa039340_T001,OG0025082,1.69467916332653,Up,Abscisic stress ripening,cellular oxidant detoxification
47,Trip22,Td00001aa019508_T001,OG0021022,1.65962626439646,Up,Heat shock 70 kDa protein 8,protein folding
48,Trip22,Td00001aa011371_T001,OG0003919,1.65283576932598,Up,Acyl transferase 5,lignin biosynthetic process
49,Trip22,Td00001aa007022_T003,OG0000566,1.63106772296827,Up,Cytochrome P450 family 72 subfamily A polypeptide 8,lipid metabolic process
50,Trip22,Td00001aa019248_T001,OG0003817,1.60195121908597,Up,GST N-terminal domain-containing protein,NA
