rank,species,protein_id,orthogroup,log2FC,DAP,description,short_description,BP,cold_related_category
31,Mg,Misin10G188700.1.v7.1,OG0023602,1.4806684731,Up,14-3-3 domain-containing protein,14-3-3 protein 7,protein localization,Cold signal transduction
31,Pv,PvWBCH1.1NG251700.1.v1.1,OG0009809,2.0717626693,Up,Dehydrin,Dehydrin,cold acclimation,Protein aggregation / membrane stability
31,Sn,Sn00001aa041377_T001,OG0000288,1.6521422721,Up,Class I heat shock protein 1,HSP I,protein folding,Protein folding / stability
31,Trip19,Td00001aa027099_T003,NA,2.0189901754,Up,Fe2OG dioxygenase domain-containing protein,Fe2OG dioxygenase,biosynthetic process,Metabolism / osmoregulation
31,Trip22,Td00001aa002847_T001,OG0001162,2.1259369302,Up,Cylicin-1,Cylicin-1,base-excision repair,Cytoskeleton stability
32,Ag,Ag00001aa099855_T001,OG0041136,1.9160944229,Up,Preproricin (Fragment),Ricin,negative regulation of translation,Other
32,Mg,Misin02G359400.1.v7.1,OG0000596,1.4707587774,Up,Hydroxyproline-rich glycoprotein family protein,Ricin B-like lectin,NA,Other
32,Pv,PvWBCH1.1NG326900.1.v1.1,OG0007520,2.0583164956,Up,Class III heat shock protein,HSP III,protein folding,Protein folding / stability
32,Sn,Sn00001aa023333_T004,OG0000289,1.6290068334,Up,Alcohol dehydrogenase 1,Alcohol dehydrogenase 1,formaldehyde catabolic process,Metabolism / osmoregulation
32,Trip19,Td00001aa025429_T004,OG0013350,2.0010816157,Up,Protein DETOXIFICATION,Protein DETOXIFICATION,xenobiotic detoxification by transmembrane export across the plasma membrane,Detoxification / ROS scavenging
32,Trip22,Td00001aa003480_T001,OG0005710,2.1191137905,Up,UspA domain-containing protein,UspA,response to cold,Other
33,Ag,Ag00001aa015316_T001,OG0005796,1.8999489862,Up,Peroxidase,Peroxidase,hydrogen peroxide catabolic process,Detoxification / ROS scavenging
33,Mg,Misin05G400200.1.v7.1,OG0015482,1.4244978285,Up,DUF255 domain-containing protein,DUF255,carbohydrate metabolic process,Other
33,Pv,PvWBCH1.3KG223000.1.v1.1,OG0013697,2.0125686735,Up,NADP-dependent oxidoreductase domain-containing protein,Aldose reductase,NA,Detoxification / ROS scavenging
33,Sn,Sn00001aa072988_T001,NA,1.595980979,Up,Pyruvate dehydrogenase E1 component subunit alpha,PDH-E1α,acetyl-CoA biosynthetic process from pyruvate,Metabolism / osmoregulation
33,Trip19,Td00001aa008985_T001,OG0005483,1.9745293125,Up,Small heat shock protein HSP17.8,sHSP17.8,protein folding,Protein folding / stability
33,Trip22,Td00001aa002603_T003,OG0011742,2.0863445314,Up,Chloroplast mRNA-binding protein CSP41 (Fragment),Chloroplast mRNA-binding,monosaccharide metabolic process,Other
34,Ag,Ag00001aa004824_T001,OG0000654,1.8995623602,Up,Dirigent protein (Fragment),Dirigent protein,phenylpropanoid biosynthetic process,Other
34,Mg,Misin02G401700.1.v7.1,OG0006466,1.4026224312,Up,anthranilate synthase,Anthranilate synthase,tryptophan biosynthetic process,Metabolism / osmoregulation
34,Pv,PvWBCH1.9KG395300.1.v1.1,OG0025089,1.9862288802,Up,"Outer envelope pore protein 16-2, chloroplastic",OEP162,amino acid transmembrane transport,Metabolism / osmoregulation
34,Sn,Sn00001aa073864_T002,NA,1.5940707569,Up,DJ-1/PfpI domain-containing protein,DJ-1/PfpI,glyoxal metabolic process,Detoxification / ROS scavenging
34,Trip19,Td00001aa019363_T002,OG0008548,1.8987887971,Up,phosphoenolpyruvate carboxykinase (ATP),PEP carboxykinase 2,gluconeogenesis,Metabolism / osmoregulation
34,Trip22,Td00001aa035379_T002,OG0004961,1.9720120328,Up,Fe2OG dioxygenase domain-containing protein,Fe2OG dioxygenase,NA,Metabolism / osmoregulation
35,Ag,Ag00001aa022279_T001,OG0000034,1.8921967105,Up,Heat shock protein 70,HSP70,protein folding,Protein folding / stability
35,Mg,Misin17G257700.1.v7.1,OG0020508,1.3959675363,Up,AAA+ ATPase domain-containing protein,AAA+ ATPase,cell division,Other
35,Pv,PvWBCH1.4KG166000.1.v1.1,OG0026991,1.972692654,Up,FAD-binding PCMH-type domain-containing protein,FAD-binding PCMH-type,NA,Detoxification / ROS scavenging
35,Sn,Sn00001aa045518_T001,OG0005483,1.5680321048,Up,Class II heat shock protein,HSP II,protein folding,Protein folding / stability
35,Trip19,Td00001aa003480_T001,OG0005710,1.8910302678,Up,UspA domain-containing protein,UspA,response to cold,Other
35,Trip22,Td00001aa014878_T002,OG0020982,1.964808237,Up,Sucrose synthase,Sucrose synthase,starch metabolic process,Metabolism / osmoregulation
36,Ag,Ag00001aa156538_T001,OG0000110,1.8675011509,Up,Heat shock protein 83,HSP83,protein folding,Protein folding / stability
36,Mg,Misin05G021700.1.v7.1,OG0009505,1.3942328841,Up,4-methyl-5-thiazole monophosphate biosynthesis protein,DJ-1 homolog B,glyoxal metabolic process,Metabolism / osmoregulation
36,Pv,PvWBCH1.5KG363600.1.v1.1,OG0000034,1.9645834628,Up,Heat shock protein 70,HSP70,protein folding,Protein folding / stability
36,Sn,Sn00001aa008298_T001,OG0005710,1.5621813565,Up,UspA domain-containing protein,UspA,response to cold,Other
36,Trip19,Td00001aa019280_T001,OG0000034,1.8659188146,Up,Heat shock protein 70,HSP70,protein folding,Protein folding / stability
36,Trip22,Td00001aa037279_T002,OG0008674,1.9448317525,Up,"Starch synthase, chloroplastic/amyloplastic",Starch synthase,starch biosynthetic process,Metabolism / osmoregulation
37,Ag,Ag00001aa129885_T002,OG0016166,1.8483975995,Up,Late embryogenesis abundant protein D-34,LEA-D34,NA,Protein aggregation / membrane stability
37,Mg,Misin05G140500.1.v7.1,OG0014118,1.3366977609,Up,"Outer envelope pore protein 16-2, chloroplastic",OEP162,amino acid transmembrane transport,Metabolism / osmoregulation
37,Pv,PvWBCH1.9KG495500.1.v1.1,OG0010777,1.9601409803,Up,Late embryogenesis abundant protein D-34,LEA-D34,NA,Protein aggregation / membrane stability
37,Sn,Sn00001aa007255_T001,OG0007798,1.5400272693,Up,Glutathione S-transferase,GST,glutathione metabolic process,Detoxification / ROS scavenging
37,Trip19,Td00001aa037279_T002,OG0008674,1.8200768211,Up,"Starch synthase, chloroplastic/amyloplastic",Starch synthase,starch biosynthetic process,Metabolism / osmoregulation
37,Trip22,Td00001aa001268_T005,OG0013614,1.9354222213,Up,Beta-glucosidase 31,Beta-glucosidase 31,carbohydrate metabolic process,Metabolism / osmoregulation
38,Ag,Ag00001aa106444_T001,OG0016166,1.8387501183,Up,Late embryogenesis abundant protein D-34,LEA-D34,NA,Protein aggregation / membrane stability
38,Mg,Misin05G173500.1.v7.1,OG0000891,1.3231659285,Up,"Thiamine thiazole synthase, chloroplastic",Thiamine thiazole,response to cold,Metabolism / osmoregulation
38,Pv,PvWBCH1.4KG012300.1.v1.1,OG0005018,1.9593992348,Up,"Multiple organellar RNA editing factor 2, chloroplastic",MORF2,mRNA processing,Other
38,Sn,Sn00001aa021863_T001,OG0008882,1.5315686088,Up,Cysteine proteinase inhibitor,Cystatin-1,defense response,Other
38,Trip19,Td00001aa001511_T001,OG0014697,1.796597754,Up,glutathione transferase,GST,glutathione metabolic process,Detoxification / ROS scavenging
38,Trip22,Td00001aa027912_T001,OG0024297,1.9156085699,Up,Dipeptidylpeptidase IV N-terminal domain-containing protein,Dipeptidylpeptidase IV,NA,Other
39,Ag,Ag00001aa004820_T001,OG0000654,1.8213020399,Up,Dirigent protein (Fragment),Dirigent protein,phenylpropanoid biosynthetic process,Other
39,Mg,Misin03G281400.1.v7.1,OG0014773,1.3065130425,Up,Glucose-6-phosphate/phosphate translocator 2,GPT2,monocarboxylic acid transport,Metabolism / osmoregulation
39,Pv,PvWBCH1.1KG077700.1.v1.1,OG0015134,1.9463565716,Up,"Heat shock protein, mitochondrial","HSP, mitochondrial",response to heat,Protein folding / stability
39,Sn,Sn00001aa006768_T001,OG0012924,1.4678011565,Up,Cysteine proteinase inhibitor,Cystatin-1,NA,Other
39,Trip19,Td00001aa033621_T001,OG0005483,1.7932716545,Up,Small heat shock protein HSP17.8,sHSP17.8,protein folding,Protein folding / stability
39,Trip22,Td00001aa010483_T001,OG0010191,1.8840705717,Up,Malic enzyme,Malic enzyme,pyruvate metabolic process,Metabolism / osmoregulation
40,Ag,Ag00001aa110604_T001,OG0001296,1.8184415758,Up,Thioredoxin domain-containing protein,Thioredoxin,response to cold,Detoxification / ROS scavenging
40,Mg,Misin11G171000.1.v7.1,OG0013568,1.3029032692,Up,Calcium-transporting ATPase,Ca-transporting ATPase,response to water deprivation,Cold signal transduction
40,Pv,PvWBCH1.2NG036100.1.v1.1,OG0001162,1.926758532,Up,Cylicin-1,Cylicin-1,base-excision repair,Cytoskeleton stability
40,Sn,Sn00001aa023974_T001,OG0024297,1.4557546222,Up,Dipeptidylpeptidase IV N-terminal domain-containing protein,Dipeptidylpeptidase IV,NA,Other
40,Trip19,Td00001aa039232_T002,OG0002524,1.7882680829,Up,GRAM domain-containing protein,GEM-like protein 5,maintenance of seed dormancy by absisic acid,Other
40,Trip22,Td00001aa001511_T001,OG0014697,1.8209694622,Up,glutathione transferase,GST,glutathione metabolic process,Detoxification / ROS scavenging
41,Ag,Ag00001aa151368_T001,OG0010082,1.8122928449,Up,Peroxidase,Peroxidase,hydrogen peroxide catabolic process,Detoxification / ROS scavenging
41,Mg,Misin08G281600.1.v7.1,OG0012590,1.2589968392,Up,Peptidase M48 domain-containing protein,Peptidase M48,proteolysis involved in protein catabolic process,Other
41,Pv,PvWBCH1.9KG134700.1.v1.1,OG0025315,1.9038095586,Up,VOC domain-containing protein,VOC,NA,Other
41,Sn,Sn00001aa053988_T001,OG0019331,1.4334936398,Up,TATA-binding protein interacting (TIP20) domain-containing protein,TATA-binding protein,SCF complex assembly,Other
41,Trip19,Td00001aa003277_T001,OG0005728,1.7578766597,Up,Phloem-specific lectin,Phloem-specific lectin,NA,Other
41,Trip22,Td00001aa007570_T001,OG0005796,1.7893096114,Up,Peroxidase,Peroxidase,hydrogen peroxide catabolic process,Detoxification / ROS scavenging
42,Ag,Ag00001aa012571_T001,OG0022704,1.8118819962,Up,Aconitate hydratase,Aconitase 1,cellular aldehyde metabolic process,Metabolism / osmoregulation
42,Mg,Misin07G346000.1.v7.1,OG0009746,1.2112000065,Up,Pectinesterase inhibitor domain-containing protein,Pectinesterase inhibitor,NA,Other
42,Pv,PvWBCH1.3KG190900.1.v1.1,OG0018783,1.8964656162,Up,Heat shock protein 101,HSP101,cellular response to heat,Protein folding / stability
42,Sn,Sn00001aa100959_T001,OG0022195,1.402176425,Up,Glucose-1-phosphate adenylyltransferase,AGPase,starch biosynthetic process,Metabolism / osmoregulation
42,Trip19,Td00001aa040575_T001,OG0001162,1.7398481027,Up,Cylicin-1,Cylicin-1,base-excision repair,Cytoskeleton stability
42,Trip22,Td00001aa002372_T002,OG0026582,1.766685295,Up,"Starch synthase, chloroplastic/amyloplastic",Starch synthase,starch biosynthetic process,Metabolism / osmoregulation
43,Ag,Ag00001aa141013_T001,OG0010191,1.8069426646,Up,Malic enzyme,Malic enzyme,pyruvate metabolic process,Metabolism / osmoregulation
43,Mg,Misin19G055000.1.v7.1,OG0002559,1.2030374887,Up,Pre-mRNA-processing-splicing factor 8A,Pre-mRNA-processing,"mRNA splicing, via spliceosome",Other
43,Pv,PvWBCH1.5NG129100.1.v1.1,OG0014118,1.8828386558,Up,"Outer envelope pore protein 16-2, chloroplastic",OEP162,amino acid transmembrane transport,Metabolism / osmoregulation
43,Sn,Sn00001aa001519_T001,OG0020952,1.3555801474,Up,Clp R domain-containing protein,"ClpB2, chloroplastic",cellular response to heat,Protein folding / stability
43,Trip19,Td00001aa027713_T001,OG0014866,1.7088493771,Up,"Acetyltransferase, GNAT family protein, expressed",GNAT family,NA,Other
43,Trip22,Td00001aa020796_T002,OG0010361,1.7666790304,Up,Glucose-1-phosphate adenylyltransferase,AGPase,starch biosynthetic process,Metabolism / osmoregulation
44,Ag,Ag00001aa012894_T001,OG0006941,1.7845039829,Up,Zeamatin,Zeamatin,defense response to fungus,Antifreeze
44,Mg,Misin09G173300.1.v7.1,OG0023602,1.1965686459,Up,14-3-3 domain-containing protein,14-3-3 protein 7,protein localization,Cold signal transduction
44,Pv,PvWBCH1.7KG134800.1.v1.1,OG0022407,1.8738131984,Up,ATP-dependent 6-phosphofructokinase 2,ATP-PFK 2,fructose 6-phosphate metabolic process,Metabolism / osmoregulation
44,Sn,Sn00001aa092320_T001,OG0000823,1.3538878363,Up,Glutathione S-transferase,GST,glutathione metabolic process,Detoxification / ROS scavenging
44,Trip19,Td00001aa007022_T003,OG0000566,1.6780719051,Up,Cytochrome P450 family 72 subfamily A polypeptide 8,Cytochrome P450 CYP72,lipid metabolic process,Other
44,Trip22,Td00001aa041145_T001,OG0021221,1.7596737819,Up,Small GTP binding protein Rab5,RAB5,protein transport,Other
45,Ag,Ag00001aa123995_T001,OG0016115,1.7811498517,Up,23.2 kDa heat shock protein-like,HSP23.2,protein folding,Protein folding / stability
45,Mg,Misin12G270100.1.v7.1,OG0035352,1.194767398,Up,DJ-1 homolog D,DJ-1 homolog D,lactate biosynthetic process,Detoxification / ROS scavenging
45,Pv,PvWBCH1.5NG010300.1.v1.1,OG0009496,1.8698714062,Up,AAA+ ATPase domain-containing protein,AAA+ ATPase,pollen sperm cell differentiation,Other
45,Sn,Sn00001aa065278_T001,NA,1.3533232912,Up,"Fructose-1,6-bisphosphatase, cytosolic",CYFBP,response to abscisic acid,Metabolism / osmoregulation
45,Trip19,Td00001aa002372_T002,OG0026582,1.6740086086,Up,"Starch synthase, chloroplastic/amyloplastic",Starch synthase,starch biosynthetic process,Metabolism / osmoregulation
45,Trip22,Td00001aa013828_T001,OG0010777,1.6948243617,Up,Late embryogenesis abundant protein D-34,LEA-D34,NA,Protein aggregation / membrane stability
46,Ag,Ag00001aa104490_T001,OG0013697,1.7794698573,Up,NADP-dependent oxidoreductase domain-containing protein,Aldose reductase,NA,Detoxification / ROS scavenging
46,Mg,Misin01G502300.1.v7.1,OG0018330,1.1528597314,Up,"Anthranilate phosphoribosyltransferase, chloroplastic",Anthranilate PRTase,tryptophan biosynthetic process,Metabolism / osmoregulation
46,Pv,PvWBCH1.4KG275100.1.v1.1,OG0003555,1.8615584196,Up,"1,4-alpha-glucan branching enzyme",SBE II-1,starch metabolic process,Metabolism / osmoregulation
46,Sn,Sn00001aa089776_T001,NA,1.3253864147,Up,tryptophan synthase,Tryptophan synthase,tryptophan biosynthetic process,Metabolism / osmoregulation
46,Trip19,Td00001aa038053_T001,OG0037479,1.6526012176,Up,"Starch synthase, chloroplastic/amyloplastic",Starch synthase,starch biosynthetic process,Metabolism / osmoregulation
46,Trip22,Td00001aa039340_T001,OG0025082,1.6946791633,Up,Abscisic stress ripening,Abscisic stress ripening,cellular oxidant detoxification,Cold signal transduction
47,Ag,Ag00001aa009716_T001,OG0016578,1.7523204285,Up,Small heat shock protein 26,sHSP26,response to heat,Protein folding / stability
47,Mg,Misin01G018500.1.v7.1,OG0018028,1.1465203971,Up,Galactokinase,Galactokinase,galactose metabolic process,Metabolism / osmoregulation
47,Pv,PvWBCH1.5KG299900.1.v1.1,OG0010191,1.8399595875,Up,Malic enzyme,Malic enzyme,pyruvate metabolic process,Metabolism / osmoregulation
47,Sn,Sn00001aa008159_T001,NA,1.2998307618,Up,CobW C-terminal domain-containing protein,Zinc-regulated GTPase,NA,Other
47,Trip19,Td00001aa020162_T001,OG0015977,1.632733526,Up,W2 domain-containing protein,W2,NA,Other
47,Trip22,Td00001aa019508_T001,OG0021022,1.6596262644,Up,Heat shock 70 kDa protein 8,HSP70 8,protein folding,Protein folding / stability
48,Ag,Ag00001aa018649_T001,OG0008582,1.7290088703,Up,Embryonic protein DC-8,Embryonic protein DC-8,cold acclimation,Protein aggregation / membrane stability
48,Mg,Misin07G367300.1.v7.1,OG0009761,1.1387742476,Up,glutathione transferase,GST,glutathione metabolic process,Detoxification / ROS scavenging
48,Pv,PvWBCH1.4NG206200.1.v1.1,OG0001891,1.8265993303,Up,Phosphoglycerate kinase,Phosphoglycerate kinase,glycolytic process,Metabolism / osmoregulation
48,Sn,Sn00001aa031675_T002,OG0003720,1.2738142446,Up,Dienelactone hydrolase domain-containing protein,Dienelactone hydrolase,NA,Detoxification / ROS scavenging
48,Trip19,Td00001aa041578_T002,OG0000110,1.6130601069,Up,Heat shock protein 83,HSP83,protein folding,Protein folding / stability
48,Trip22,Td00001aa011371_T001,OG0003919,1.6528357693,Up,Acyl transferase 5,Acyl transferase 5,lignin biosynthetic process,Lipid metabolism
49,Ag,Ag00001aa019394_T001,NA,1.7154541271,Up,Heat shock protein 70,HSP70,protein folding,Protein folding / stability
49,Mg,Misin18G109800.1.v7.1,OG0024817,1.13262646,Up,Pyruvate dehydrogenase E1 component subunit alpha,PDH-E1α,acetyl-CoA biosynthetic process from pyruvate,Metabolism / osmoregulation
49,Pv,PvWBCH1.9NG503500.1.v1.1,OG0001959,1.8221182747,Up,chitinase,Chitinase,polysaccharide catabolic process,Antifreeze
49,Sn,Sn00001aa007068_T001,OG0010191,1.2732174731,Up,Malic enzyme,Malic enzyme,pyruvate metabolic process,Metabolism / osmoregulation
49,Trip19,Td00001aa012013_T001,OG0008132,1.6016965165,Up,adenylate kinase,Adenylate kinase,nucleoside monophosphate phosphorylation,Metabolism / osmoregulation
49,Trip22,Td00001aa007022_T003,OG0000566,1.631067723,Up,Cytochrome P450 family 72 subfamily A polypeptide 8,Cytochrome P450 CYP72,lipid metabolic process,Other
50,Ag,Ag00001aa118595_T001,OG0000288,1.7110543218,Up,Small heat shock protein HSP,sHSP,protein folding,Protein folding / stability
50,Mg,Misin12G201000.1.v7.1,OG0020723,1.1145843685,Up,(S)-2-hydroxy-acid oxidase,GLO3,response to other organism,Detoxification / ROS scavenging
50,Pv,PvWBCH1.5KG283000.1.v1.1,OG0020387,1.7957669478,Up,Prenylcysteine oxidase / farnesylcysteine lyase,PCYOX,NA,Detoxification / ROS scavenging
50,Sn,Sn00001aa012896_T001,OG0017439,1.254594043,Up,Peroxidase,Peroxidase,hydrogen peroxide catabolic process,Detoxification / ROS scavenging
50,Trip19,Td00001aa014170_T002,OG0011183,1.5983652053,Up,inositol-3-phosphate synthase,IPS3,inositol biosynthetic process,Metabolism / osmoregulation
50,Trip22,Td00001aa019248_T001,OG0003817,1.6019512191,Up,GST N-terminal domain-containing protein,GST-N,NA,Detoxification / ROS scavenging
