Ag_protein,Mg_protein_id,n_peptides,sum_bitscore,median_pident
Ag00001aa024803_T002,Misin04G312400.1.v7.1,3,113.6,100
Ag00001aa024815_T001,Misin04G310500.1.v7.1,1,34.7,100
Ag00001aa024911_T003,Misin03G278000.1.v7.1,5,225.39999999999998,100
Ag00001aa024938_T001,Misin03G275000.1.v7.1,1,51.2,100
Ag00001aa024956_T001,Misin03G273300.1.v7.1,2,69.4,100
Ag00001aa024980_T001,Misin04G292700.1.v7.1,3,118.6,100
Ag00001aa025007_T001,Misin04G289900.1.v7.1,2,72.4,93.35
Ag00001aa025033_T001,Misin03G247300.1.v7.1,1,51.2,100
Ag00001aa025068_T002,Misin03G263500.1.v7.1,1,59.7,100
Ag00001aa025240_T001,Misin04G266600.1.v7.1,2,83.9,87.1
Ag00001aa025261_T001,Misin03G232000.1.v7.1,1,35,93.8
Ag00001aa025279_T001,Misin03G233600.1.v7.1,4,194.5,100
Ag00001aa025305_T005,Misin03G235900.1.v7.1,4,189.1,98.1
Ag00001aa025350_T001,Misin03G239200.1.v7.1,6,269.6,100
Ag00001aa025369_T001,Misin03G242800.1.v7.1,1,37.7,94.7
Ag00001aa025443_T001,Misin04G247000.1.v7.1,2,80.80000000000001,100
Ag00001aa025476_T001,Misin03G223100.1.v7.1,2,111,100
Ag00001aa025656_T001,Misin04G225000.1.v7.1,3,116.7,100
Ag00001aa025741_T001,Misin03G194900.1.v7.1,6,210.29999999999998,100
Ag00001aa025765_T001,MisinT127100.1.v7.1,1,40.4,100
Ag00001aa025805_T001,Misin18G110500.1.v7.1,2,83.19999999999999,92.85
Ag00001aa025815_T001,Misin03G201000.1.v7.1,3,107.89999999999999,100
Ag00001aa025848_T001,Misin03G207800.1.v7.1,1,49.3,100
Ag00001aa025863_T001,Misin03G206500.1.v7.1,7,312.4,100
Ag00001aa026177_T001,Misin03G157400.1.v7.1,10,385.09999999999997,100
Ag00001aa026356_T001,Misin03G134300.1.v7.1,4,167.89999999999998,100
Ag00001aa026358_T001,Misin03G134300.1.v7.1,5,224.10000000000002,100
Ag00001aa026379_T001,Misin03G131700.1.v7.1,2,82.80000000000001,100
Ag00001aa026466_T001,MisinT028000.1.v7.1,1,33.5,100
Ag00001aa026467_T002,MisinT139100.1.v7.1,1,42,100
Ag00001aa026485_T001,Misin16G001700.1.v7.1,10,380.19999999999993,100
Ag00001aa026509_T001,Misin01G000400.1.v7.1,1,36.6,100
Ag00001aa026513_T001,Misin16G027700.1.v7.1,1,53.9,100
Ag00001aa026548_T001,Misin06G391800.1.v7.1,1,34.3,92.9
Ag00001aa026562_T001,Misin16G032100.1.v7.1,1,37,94.4
Ag00001aa026564_T001,Misin16G032200.1.v7.1,12,492.6,100
Ag00001aa026565_T001,Misin01G005300.1.v7.1,5,241.89999999999998,100
Ag00001aa026593_T001,Misin01G008300.1.v7.1,3,110.2,100
Ag00001aa026617_T001,Misin16G012300.1.v7.1,4,183,100
Ag00001aa026628_T001,Misin18G058200.1.v7.1,2,79.30000000000001,100
Ag00001aa026634_T002,Misin05G152600.1.v7.1,1,34.3,100
Ag00001aa026636_T001,Misin16G012800.1.v7.1,7,295.69999999999993,100
Ag00001aa026641_T001,Misin01G012900.1.v7.1,1,41.2,100
Ag00001aa026657_T003,Misin01G014900.1.v7.1,1,36.2,100
Ag00001aa026660_T001,Misin05G272000.1.v7.1,11,413.29999999999995,100
Ag00001aa026670_T001,Misin02G007500.1.v7.1,1,33.5,100
Ag00001aa026677_T001,Misin02G006700.1.v7.1,1,42,100
Ag00001aa026706_T001,Misin01G017800.1.v7.1,1,37.7,100
Ag00001aa026707_T002,Misin01G018100.1.v7.1,3,122.5,100
Ag00001aa026759_T001,Misin01G023800.1.v7.1,1,46.6,100
Ag00001aa026770_T001,Misin01G025100.1.v7.1,1,41.6,100
Ag00001aa026773_T001,Misin01G025300.1.v7.1,5,218.5,95.7
Ag00001aa026817_T002,Misin01G028600.1.v7.1,9,439.79999999999995,100
Ag00001aa026861_T002,Misin01G032000.1.v7.1,9,387.50000000000006,100
Ag00001aa026868_T001,Misin01G032900.1.v7.1,3,120.5,100
Ag00001aa026881_T001,Misin02G020700.1.v7.1,2,72.4,94.1
Ag00001aa026882_T001,Misin01G034500.1.v7.1,7,253.60000000000002,100
Ag00001aa026892_T002,Misin01G035600.1.v7.1,1,37.4,100
Ag00001aa026896_T001,Misin01G036300.1.v7.1,1,41.6,100
Ag00001aa026912_T001,Misin01G037200.1.v7.1,1,41.2,100
Ag00001aa026922_T001,Misin01G038500.1.v7.1,4,143.2,100
Ag00001aa026945_T001,Misin01G073600.1.v7.1,2,80.8,100
Ag00001aa026961_T001,Misin02G049700.1.v7.1,6,232.70000000000002,100
Ag00001aa026979_T002,Misin01G076300.1.v7.1,1,38.5,100
Ag00001aa026980_T001,Misin02G047600.1.v7.1,3,182.39999999999998,96.7
Ag00001aa027024_T001,Misin02G042500.1.v7.1,2,82.4,100
Ag00001aa027095_T003,Misin01G052300.1.v7.1,1,43.1,100
Ag00001aa027119_T002,Misin01G050700.1.v7.1,1,51.2,95.7
Ag00001aa027123_T001,Misin01G050000.1.v7.1,2,72.1,100
Ag00001aa027170_T004,Misin01G045900.1.v7.1,4,161.4,100
Ag00001aa027238_T002,Misin01G041900.1.v7.1,2,72.8,100
Ag00001aa027254_T002,Misin01G039900.1.v7.1,2,72.80000000000001,100
Ag00001aa027257_T001,Misin01G039600.1.v7.1,3,112.4,100
Ag00001aa027321_T002,Misin01G066600.1.v7.1,5,188.3,100
Ag00001aa027325_T001,Misin01G066200.1.v7.1,1,40.4,78.3
Ag00001aa027333_T001,Misin02G060100.1.v7.1,7,319.2,100
Ag00001aa027348_T001,Misin01G064000.1.v7.1,1,51.2,100
Ag00001aa027356_T001,Misin01G063000.1.v7.1,7,316.90000000000003,100
Ag00001aa027409_T003,Misin01G086600.1.v7.1,1,46.2,100
Ag00001aa027410_T001,Misin01G086400.1.v7.1,3,131.3,100
Ag00001aa027448_T001,Misin02G071900.1.v7.1,1,39.7,95.5
Ag00001aa027471_T001,Misin17G132400.1.v7.1,1,33.9,100
Ag00001aa027483_T001,Misin01G079600.1.v7.1,1,37,100
Ag00001aa027510_T001,Misin02G078400.1.v7.1,3,123.6,100
Ag00001aa027593_T002,MisinT397300.1.v7.1,4,148.2,100
Ag00001aa027600_T002,Misin01G098000.1.v7.1,1,43.1,100
Ag00001aa027609_T001,Misin01G099300.1.v7.1,1,33.1,92.9
Ag00001aa027611_T003,Misin02G086800.1.v7.1,1,53.1,96.2
Ag00001aa027630_T001,Misin01G101400.1.v7.1,1,73.2,100
Ag00001aa027649_T002,Misin01G015600.1.v7.1,5,217.5,100
Ag00001aa027652_T001,Misin06G149000.1.v7.1,3,123.6,100
Ag00001aa027660_T001,Misin02G091700.1.v7.1,1,38.9,100
Ag00001aa027664_T002,Misin01G104600.1.v7.1,7,281.5,100
Ag00001aa027681_T001,Misin02G093300.1.v7.1,5,205.29999999999998,100
Ag00001aa027684_T001,Misin02G093500.1.v7.1,6,232.19999999999996,100
Ag00001aa027688_T002,Misin01G106200.1.v7.1,4,149.6,100
Ag00001aa027716_T001,Misin01G106600.1.v7.1,3,148.7,100
Ag00001aa027772_T001,Misin04G339200.1.v7.1,1,44.3,100
Ag00001aa027795_T002,Misin02G103400.1.v7.1,5,220.9,95.5
Ag00001aa027796_T001,Misin02G103500.1.v7.1,5,205.7,94.7
Ag00001aa027823_T002,Misin01G119000.1.v7.1,6,269.09999999999997,100
Ag00001aa027834_T001,Misin01G119400.1.v7.1,2,116.30000000000001,98.65
Ag00001aa027861_T005,Misin02G109700.1.v7.1,1,37,93.8
Ag00001aa027902_T001,MisinT484300.1.v7.1,1,33.9,100
Ag00001aa027953_T002,Misin02G126500.1.v7.1,3,149.10000000000002,100
Ag00001aa027961_T001,Misin01G130700.1.v7.1,2,91.30000000000001,100
Ag00001aa028025_T001,Misin02G117400.1.v7.1,2,79.3,96.65
Ag00001aa028035_T001,Misin01G145100.1.v7.1,1,58.5,100
Ag00001aa028041_T002,Misin01G145800.1.v7.1,11,433.2,100
Ag00001aa028049_T001,Misin01G146400.1.v7.1,1,33.5,100
Ag00001aa028059_T001,Misin01G147400.1.v7.1,1,35,100
Ag00001aa028081_T001,Misin01G149000.1.v7.1,3,118.19999999999999,100
Ag00001aa028173_T001,Misin02G139400.1.v7.1,1,44.3,100
Ag00001aa028228_T001,Misin02G143700.1.v7.1,1,35.4,100
Ag00001aa028292_T001,Misin01G154200.1.v7.1,1,35,100
Ag00001aa028299_T001,MisinT224000.1.v7.1,2,68.1,100
Ag00001aa028343_T003,Misin06G281500.1.v7.1,1,56.6,70.6
Ag00001aa028344_T001,Misin01G164400.1.v7.1,3,129.3,100
Ag00001aa028347_T001,Misin01G164600.1.v7.1,2,75.1,97.05
Ag00001aa028355_T002,Misin01G163600.1.v7.1,1,54.3,100
Ag00001aa028356_T001,Misin01G163500.1.v7.1,1,35.8,100
Ag00001aa028412_T002,Misin02G181900.1.v7.1,1,42.4,94.7
Ag00001aa028489_T001,Misin01G175800.1.v7.1,2,90.5,100
Ag00001aa028523_T002,Misin01G179700.1.v7.1,3,100.4,100
Ag00001aa028562_T001,Misin01G183800.1.v7.1,1,37.7,100
Ag00001aa028565_T001,Misin02G173100.1.v7.1,2,73.9,85.1
Ag00001aa028572_T001,Misin08G219100.1.v7.1,1,52.4,100
Ag00001aa028578_T001,Misin01G185200.1.v7.1,8,441,100
Ag00001aa028596_T001,Misin01G186900.1.v7.1,6,241.10000000000002,100
Ag00001aa028606_T001,Misin02G167800.1.v7.1,1,39.3,100
Ag00001aa028611_T002,Misin02G169300.1.v7.1,2,68.6,100
Ag00001aa028612_T002,Misin02G182500.1.v7.1,1,57.4,92.9
Ag00001aa028628_T001,Misin01G192700.1.v7.1,2,84.7,100
Ag00001aa028640_T003,MisinT335300.1.v7.1,3,107.4,100
Ag00001aa028644_T004,Misin01G190900.1.v7.1,3,109.4,100
Ag00001aa028648_T003,Misin02G185500.1.v7.1,2,161,97.2
Ag00001aa028651_T001,Misin02G185700.1.v7.1,1,46.2,90.9
Ag00001aa028716_T001,Misin01G197200.1.v7.1,6,283.40000000000003,98.15
Ag00001aa028759_T001,Misin18G224300.1.v7.1,2,70,83.3
Ag00001aa028766_T001,Misin01G202600.1.v7.1,7,281.90000000000003,100
Ag00001aa028774_T001,Misin02G193000.1.v7.1,1,42,100
Ag00001aa028787_T002,Misin02G192100.1.v7.1,1,43.1,100
Ag00001aa028790_T001,Misin01G205300.1.v7.1,2,71.6,96.45
Ag00001aa028821_T001,Misin01G207700.1.v7.1,1,40.8,100
Ag00001aa028837_T004,Misin01G208300.1.v7.1,1,51.2,100
Ag00001aa028842_T001,Misin01G210900.1.v7.1,2,96.30000000000001,100
Ag00001aa028848_T003,Misin01G211300.1.v7.1,11,455.20000000000005,100
Ag00001aa028857_T001,Misin02G199600.1.v7.1,1,35.8,100
Ag00001aa028864_T001,Misin01G208900.1.v7.1,2,81.30000000000001,100
Ag00001aa028870_T001,Misin01G210000.1.v7.1,1,41.2,100
Ag00001aa028884_T001,MisinT531900.1.v7.1,1,37,100
Ag00001aa028895_T001,Misin01G214600.1.v7.1,1,54.3,93.1
Ag00001aa028912_T001,Misin01G213400.1.v7.1,18,744.8,100
Ag00001aa028935_T001,Misin07G128800.1.v7.1,2,77.8,97.6
Ag00001aa028950_T002,Misin01G219100.1.v7.1,2,119,100
Ag00001aa028981_T001,Misin01G221800.1.v7.1,4,156.70000000000002,94.1
Ag00001aa029002_T001,Misin14G068300.1.v7.1,4,151,100
Ag00001aa029008_T001,Misin02G218300.1.v7.1,1,37,94.4
Ag00001aa029075_T001,Misin06G317300.1.v7.1,6,212.4,100
Ag00001aa029091_T001,Misin01G474000.1.v7.1,1,36.2,100
Ag00001aa029125_T001,Misin01G229100.1.v7.1,1,42,95.2
Ag00001aa029146_T001,Misin01G230500.1.v7.1,2,82.8,97.35
Ag00001aa029179_T003,Misin01G234400.1.v7.1,3,113.19999999999999,100
Ag00001aa029214_T001,Misin08G129500.1.v7.1,1,46.6,100
Ag00001aa029219_T001,Misin07G119900.1.v7.1,1,36.6,100
Ag00001aa029231_T001,Misin04G156200.1.v7.1,3,138.60000000000002,100
Ag00001aa029239_T002,Misin08G123100.1.v7.1,3,121.3,100
Ag00001aa029242_T001,Misin08G122800.1.v7.1,1,46.2,100
Ag00001aa029372_T001,Misin08G136000.1.v7.1,9,468.5999999999999,100
Ag00001aa029384_T001,Misin08G129900.1.v7.1,1,37.4,100
Ag00001aa029425_T001,Misin08G139300.1.v7.1,1,34.7,88.2
Ag00001aa029475_T001,Misin08G146800.1.v7.1,5,237.5,100
Ag00001aa029482_T001,Misin07G170300.1.v7.1,1,43.9,100
Ag00001aa029510_T002,Misin08G147800.1.v7.1,2,77.4,97.05
Ag00001aa029524_T001,Misin07G355200.1.v7.1,8,330.70000000000005,100
Ag00001aa029536_T001,Misin07G021100.1.v7.1,4,151.6,100
Ag00001aa029606_T001,Misin07G346900.1.v7.1,1,48.9,96
Ag00001aa029644_T002,Misin07G370100.1.v7.1,2,86.2,100
Ag00001aa029649_T005,Misin08G160600.1.v7.1,2,74.8,100
Ag00001aa029672_T001,Misin07G358100.1.v7.1,1,50.4,100
Ag00001aa029719_T002,Misin07G366600.1.v7.1,4,198,100
Ag00001aa029734_T001,Misin07G367900.1.v7.1,1,38.5,100
Ag00001aa029761_T001,Misin07G380800.1.v7.1,2,105.5,96
Ag00001aa029766_T001,Misin11G029000.1.v7.1,1,37.7,100
Ag00001aa029808_T003,Misin08G176300.1.v7.1,1,42.4,100
Ag00001aa029839_T001,Misin07G383400.1.v7.1,1,55.5,100
Ag00001aa029867_T001,Misin07G386800.1.v7.1,4,144.7,100
Ag00001aa029877_T001,Misin07G388200.1.v7.1,1,42.4,85.7
Ag00001aa029911_T001,MisinT256600.1.v7.1,3,130.60000000000002,100
Ag00001aa029936_T001,Misin07G392800.1.v7.1,2,81.2,100
Ag00001aa029945_T001,Misin07G393900.1.v7.1,4,170.1,100
Ag00001aa029947_T001,Misin07G186600.1.v7.1,4,237.2,96.4
Ag00001aa029954_T002,Misin08G191900.1.v7.1,1,34.3,100
Ag00001aa029956_T001,Misin07G395100.1.v7.1,1,42.7,100
Ag00001aa030002_T001,Misin08G195600.1.v7.1,3,111.2,100
Ag00001aa030020_T001,Misin07G405900.1.v7.1,1,33.1,100
Ag00001aa030057_T001,Misin08G220300.1.v7.1,2,89.8,96.3
Ag00001aa030087_T001,Misin08G204900.1.v7.1,4,157.2,100
Ag00001aa030095_T001,Misin18G046800.1.v7.1,1,38.5,100
Ag00001aa030108_T001,Misin01G295000.1.v7.1,4,154.79999999999998,100
Ag00001aa030162_T002,Misin02G326300.1.v7.1,3,121,100
Ag00001aa030164_T001,Misin07G418700.1.v7.1,1,36.6,94.7
Ag00001aa030165_T002,Misin08G213500.1.v7.1,2,88.19999999999999,96.65
Ag00001aa030195_T001,Misin08G217000.1.v7.1,1,38.1,100
Ag00001aa030204_T002,Misin08G217800.1.v7.1,1,49.3,100
Ag00001aa030231_T001,Misin07G426900.1.v7.1,4,149.4,94.1
Ag00001aa030294_T001,Misin08G225900.1.v7.1,1,47.4,100
Ag00001aa030298_T001,Misin07G544600.1.v7.1,3,132.4,100
Ag00001aa030314_T001,Misin07G435100.1.v7.1,1,33.1,100
Ag00001aa030349_T005,Misin08G231600.1.v7.1,10,436.00000000000006,100
Ag00001aa030359_T001,Misin07G437200.1.v7.1,4,209.6,100
Ag00001aa030374_T001,Misin07G435800.1.v7.1,1,35,100
Ag00001aa030383_T001,Misin08G235000.1.v7.1,1,44.3,92
Ag00001aa030512_T001,Misin08G246000.1.v7.1,4,174.5,96.15
Ag00001aa030546_T001,Misin07G454500.1.v7.1,1,35.4,100
Ag00001aa030570_T002,Misin01G026000.1.v7.1,4,150.9,100
Ag00001aa030603_T002,Misin08G254300.1.v7.1,1,38.1,100
Ag00001aa030620_T001,Misin07G459800.1.v7.1,4,169.10000000000002,97.05
Ag00001aa030621_T002,Misin07G459900.1.v7.1,2,74.8,100
Ag00001aa030648_T002,Misin07G464400.1.v7.1,2,80.5,100
Ag00001aa030659_T002,Misin07G463300.1.v7.1,1,44.7,100
Ag00001aa030665_T001,Misin08G259100.1.v7.1,2,72.7,100
Ag00001aa030675_T001,Misin06G317300.1.v7.1,6,212.4,100
Ag00001aa030705_T001,Misin07G466300.1.v7.1,2,94,100
Ag00001aa030729_T001,Misin07G469300.1.v7.1,1,50.8,100
Ag00001aa030737_T001,Misin07G468900.1.v7.1,2,83.9,100
Ag00001aa030753_T001,Misin08G265000.1.v7.1,1,42,100
Ag00001aa030762_T001,Misin07G467100.1.v7.1,1,46.2,100
Ag00001aa030818_T001,Misin07G496200.1.v7.1,1,38.1,100
Ag00001aa030831_T001,Misin19G086500.1.v7.1,6,225.3,100
Ag00001aa030871_T002,Misin08G281600.1.v7.1,3,132.5,100
Ag00001aa030909_T001,Misin15G123300.1.v7.1,1,37.4,100
Ag00001aa030938_T001,Misin07G483400.1.v7.1,3,125.19999999999999,100
Ag00001aa030945_T004,Misin07G483000.1.v7.1,1,38.1,100
Ag00001aa030960_T002,Misin07G481300.1.v7.1,1,50.4,100
Ag00001aa030963_T002,Misin07G481200.1.v7.1,4,154.5,100
Ag00001aa031026_T001,Misin07G475800.1.v7.1,1,34.7,100
Ag00001aa031067_T001,Misin07G470800.1.v7.1,1,59.7,100
Ag00001aa031076_T001,Misin07G470000.1.v7.1,3,113.10000000000001,100
Ag00001aa031096_T001,Misin07G503600.1.v7.1,1,36.6,100
Ag00001aa031109_T001,Misin08G298800.1.v7.1,3,113.7,100
Ag00001aa031125_T002,Misin11G101300.1.v7.1,2,89.4,100
Ag00001aa031150_T001,Misin07G506600.1.v7.1,3,122.5,100
Ag00001aa031163_T002,Misin08G291800.1.v7.1,4,168.7,100
Ag00001aa031214_T001,Misin07G512100.1.v7.1,6,361.20000000000005,100
Ag00001aa031230_T001,Misin07G513900.1.v7.1,2,105.1,95.3
Ag00001aa031275_T001,Misin08G323700.1.v7.1,1,33.5,100
Ag00001aa031277_T001,Misin07G520100.1.v7.1,1,40.8,100
Ag00001aa031279_T002,Misin07G520700.1.v7.1,1,40.8,100
Ag00001aa031297_T001,Misin07G522200.1.v7.1,3,120.5,100
Ag00001aa031300_T001,Misin08G321400.1.v7.1,2,71.2,96.65
Ag00001aa031315_T003,Misin08G308200.1.v7.1,10,395.5,100
Ag00001aa031373_T001,Misin16G060100.1.v7.1,1,52.4,100
Ag00001aa031384_T003,Misin18G079700.1.v7.1,10,378.4,100
Ag00001aa031394_T002,Misin07G531600.1.v7.1,1,41.6,100
Ag00001aa031400_T002,Misin08G316800.1.v7.1,3,134,100
Ag00001aa031401_T001,Misin08G316900.1.v7.1,1,48.5,95.8
Ag00001aa031407_T001,Misin08G317600.1.v7.1,3,110.5,100
Ag00001aa031442_T001,MisinT191900.1.v7.1,1,35.8,94.4
Ag00001aa031443_T003,Misin07G540400.1.v7.1,8,375.4,100
Ag00001aa031473_T001,Misin07G538300.1.v7.1,1,57,100
Ag00001aa031487_T001,Misin07G330300.1.v7.1,1,48.5,92.9
Ag00001aa031490_T001,Misin08G329100.1.v7.1,1,51.2,92.6
Ag00001aa031495_T002,Misin07G542400.1.v7.1,2,80.5,100
Ag00001aa031500_T001,Misin08G330100.1.v7.1,1,34.3,100
Ag00001aa031522_T002,Misin18G057000.1.v7.1,1,36.6,100
Ag00001aa031545_T001,Misin08G333800.1.v7.1,1,39.3,95.8
Ag00001aa031546_T001,Misin07G547500.1.v7.1,1,42.7,100
Ag00001aa031557_T002,MisinT532400.1.v7.1,1,35,100
Ag00001aa031577_T002,Misin07G553500.1.v7.1,2,73.2,100
Ag00001aa031593_T001,Misin07G554600.1.v7.1,1,37.7,68
Ag00001aa031635_T001,MisinT018400.1.v7.1,1,34.7,93.3
Ag00001aa031647_T001,MisinT273200.1.v7.1,1,36.6,100
Ag00001aa031675_T001,MisinT033700.1.v7.1,4,154.4,100
Ag00001aa031811_T001,Misin05G329300.1.v7.1,1,35,100
Ag00001aa031817_T001,Misin06G326100.1.v7.1,2,104.30000000000001,90.30000000000001
Ag00001aa031826_T002,Misin05G327900.1.v7.1,2,71.3,97.5
Ag00001aa031847_T001,Misin05G325200.1.v7.1,1,40,94.7
Ag00001aa031962_T001,Misin16G042800.1.v7.1,3,131,95.2
Ag00001aa032043_T002,Misin05G358200.1.v7.1,6,240.3,100
Ag00001aa032044_T001,Misin05G358300.1.v7.1,1,52.8,95.8
Ag00001aa032060_T001,Misin05G359800.1.v7.1,2,87.4,100
Ag00001aa032124_T001,Misin05G370300.1.v7.1,8,448.7,100
Ag00001aa032151_T001,MisinT137600.1.v7.1,1,38.9,100
Ag00001aa032161_T001,Misin05G376600.1.v7.1,2,90.5,100
Ag00001aa032194_T001,Misin06G366000.1.v7.1,3,118.9,100
Ag00001aa032196_T004,Misin05G374500.1.v7.1,3,116.39999999999999,100
Ag00001aa032198_T001,Misin05G370500.1.v7.1,9,421,100
Ag00001aa032200_T001,Misin05G370600.1.v7.1,1,42.4,82.6
Ag00001aa032231_T004,Misin05G373500.1.v7.1,1,54.3,100
Ag00001aa032261_T001,Misin06G376000.1.v7.1,3,152.39999999999998,95.8
Ag00001aa032343_T001,MisinT203800.1.v7.1,3,161.7,100
Ag00001aa032368_T001,Misin05G400200.1.v7.1,3,136.7,100
Ag00001aa032373_T001,Misin18G023200.1.v7.1,13,525.9,100
Ag00001aa032409_T001,MisinT434100.1.v7.1,1,33.1,100
Ag00001aa032414_T002,Misin06G406100.1.v7.1,2,76.2,96.9
Ag00001aa032453_T001,Misin06G403100.1.v7.1,1,43.5,100
Ag00001aa032560_T001,Misin01G435100.1.v7.1,4,167.4,100
Ag00001aa032562_T001,Misin06G393200.1.v7.1,1,57,96.2
Ag00001aa032565_T001,Misin04G017700.1.v7.1,1,36.2,100
Ag00001aa032586_T002,Misin05G335800.1.v7.1,11,453,100
Ag00001aa032609_T004,Misin05G338300.1.v7.1,2,68.19999999999999,100
Ag00001aa032614_T001,Misin05G339100.1.v7.1,1,40.8,100
Ag00001aa032661_T001,Misin05G317900.1.v7.1,1,37.7,100
Ag00001aa032667_T002,Misin05G318300.1.v7.1,1,41.2,100
Ag00001aa032669_T001,Misin06G305000.1.v7.1,4,156.20000000000002,100
Ag00001aa032691_T001,Misin05G311100.1.v7.1,16,925.1000000000001,96.6
Ag00001aa032708_T001,Misin06G300800.1.v7.1,3,157.9,100
Ag00001aa032738_T001,Misin04G374700.1.v7.1,2,84,100
Ag00001aa032775_T001,Misin06G287300.1.v7.1,2,85.9,100
Ag00001aa032842_T001,Misin05G297700.1.v7.1,1,39.3,94.4
Ag00001aa032855_T002,Misin05G295500.1.v7.1,7,369.99999999999994,100
Ag00001aa032943_T001,Misin06G277500.1.v7.1,1,33.1,100
Ag00001aa032985_T001,Misin05G281400.1.v7.1,7,355.5,100
Ag00001aa032996_T001,Misin05G280300.1.v7.1,1,47.8,95
Ag00001aa033018_T002,Misin05G276000.1.v7.1,2,79,97.05
Ag00001aa033081_T001,Misin05G264500.1.v7.1,2,78.6,97.75
Ag00001aa033147_T001,Misin05G272400.1.v7.1,3,114.4,100
Ag00001aa033160_T001,Misin06G254700.1.v7.1,1,47,95.5
Ag00001aa033169_T002,Misin06G258200.1.v7.1,1,35.8,100
Ag00001aa033228_T001,Misin05G249200.1.v7.1,1,32.7,100
Ag00001aa033254_T001,Misin05G251600.1.v7.1,1,52,100
Ag00001aa033257_T001,Misin05G251700.1.v7.1,8,355.80000000000007,100
Ag00001aa033312_T001,Misin05G257200.1.v7.1,3,126.30000000000001,100
Ag00001aa033326_T001,Misin05G258700.1.v7.1,1,57,96.2
Ag00001aa033338_T001,Misin16G260700.1.v7.1,1,33.5,93.3
Ag00001aa033385_T001,Misin06G246600.1.v7.1,3,126,100
Ag00001aa033400_T001,Misin06G249900.1.v7.1,1,35.8,100
Ag00001aa033434_T001,Misin07G537000.1.v7.1,1,38.1,100
Ag00001aa033447_T001,MisinT488500.1.v7.1,1,38.1,100
Ag00001aa033457_T001,Misin06G228100.1.v7.1,1,51.6,84
Ag00001aa033461_T001,Misin06G227800.1.v7.1,2,105.6,100
Ag00001aa033498_T001,Misin05G212100.1.v7.1,12,517.7,100
Ag00001aa033527_T001,Misin05G214300.1.v7.1,1,48.1,100
Ag00001aa033586_T003,Misin05G219700.1.v7.1,6,259.3,100
Ag00001aa033671_T001,Misin05G227300.1.v7.1,2,109.4,100
Ag00001aa033710_T002,Misin06G203100.1.v7.1,2,72.8,100
Ag00001aa033715_T001,Misin05G230600.1.v7.1,4,196.4,100
Ag00001aa033720_T001,Misin05G231100.1.v7.1,1,44.7,100
Ag00001aa033729_T001,Misin06G204700.1.v7.1,10,387.40000000000003,100
Ag00001aa033757_T001,Misin16G064800.1.v7.1,4,153.7,95.5
Ag00001aa033758_T001,Misin16G064800.1.v7.1,4,184.00000000000003,93.7
Ag00001aa033796_T002,Misin19G046700.1.v7.1,2,76.2,100
Ag00001aa033803_T001,MisinT127500.1.v7.1,1,44.3,92
Ag00001aa033867_T001,Misin05G204900.1.v7.1,1,39.7,100
Ag00001aa033910_T001,Misin06G198700.1.v7.1,2,68.9,100
Ag00001aa033911_T001,Misin06G198700.1.v7.1,2,68.9,100
Ag00001aa033917_T004,Misin05G190500.1.v7.1,1,49.7,100
Ag00001aa033935_T001,MisinT296800.1.v7.1,2,100.9,100
Ag00001aa033943_T001,Misin05G192100.1.v7.1,1,49.7,100
Ag00001aa033969_T001,Misin17G260900.1.v7.1,2,70,100
Ag00001aa034036_T002,Misin05G199400.1.v7.1,1,34.3,94.7
Ag00001aa034045_T003,Misin05G198200.1.v7.1,2,89.3,100
Ag00001aa034051_T001,Misin03G326000.1.v7.1,1,37.4,100
Ag00001aa034194_T001,Misin06G168300.1.v7.1,11,531.9,100
Ag00001aa034216_T001,Misin05G173800.1.v7.1,1,36.2,100
Ag00001aa034222_T001,Misin05G174100.1.v7.1,3,117,100
Ag00001aa034303_T001,Misin06G157300.1.v7.1,6,242.20000000000002,100
Ag00001aa034316_T001,Misin05G165600.1.v7.1,3,131,100
Ag00001aa034329_T001,Misin06G156300.1.v7.1,3,130.5,100
Ag00001aa034409_T001,Misin13G196900.1.v7.1,4,179,100
Ag00001aa034459_T001,Misin13G191800.1.v7.1,1,33.9,93.8
Ag00001aa034470_T001,Misin07G222000.1.v7.1,2,97,100
Ag00001aa034482_T001,Misin07G223000.1.v7.1,7,315.09999999999997,100
Ag00001aa034533_T001,Misin07G229200.1.v7.1,1,49.7,100
Ag00001aa034572_T002,Misin07G234500.1.v7.1,2,74.3,100
Ag00001aa034581_T001,Misin07G235800.1.v7.1,1,39.7,100
Ag00001aa034593_T002,Misin07G236700.1.v7.1,2,76.6,100
Ag00001aa034683_T003,MisinT220500.1.v7.1,1,51.6,85.2
Ag00001aa034684_T001,Misin07G244200.1.v7.1,2,84.8,100
Ag00001aa034687_T002,Misin07G244600.1.v7.1,1,43.5,95.5
Ag00001aa034719_T001,Misin13G161200.1.v7.1,4,156.70000000000002,100
Ag00001aa034901_T001,Misin13G154600.1.v7.1,2,82,100
Ag00001aa034945_T001,Misin13G150000.1.v7.1,9,435.80000000000007,100
Ag00001aa034948_T001,Misin13G149700.1.v7.1,3,146.8,100
Ag00001aa034949_T001,Misin07G269200.1.v7.1,8,356.7,100
Ag00001aa034956_T001,Misin07G270300.1.v7.1,1,35,100
Ag00001aa034991_T001,Misin07G273900.1.v7.1,1,34.7,100
Ag00001aa035013_T001,Misin07G273200.1.v7.1,8,381.40000000000003,100
