query_id,uniprot_id,Description,BP_terms,MF_terms,CC_terms
Sn00001aa050399_T001,Q10S66,Chitinase 11,cell wall macromolecule catabolic process; chitin catabolic process; defense response to fungus; polysaccharide catabolic process,chitinase activity; endochitinase activity,
Sn00001aa050948_T001,Q9LYV6,GEM-like protein 5,embryo development ending in seed dormancy; maintenance of seed dormancy by absisic acid; regulation of seed germination; seed germination,,plastid
Sn00001aa051893_T001,P33679,Zeamatin,defense response; defense response to fungus; killing of cells of another organism,,
Sn00001aa053988_T001,Q8L5Y6,Cullin-associated NEDD8-dissociated protein 1,response to auxin; SCF complex assembly; vegetative to reproductive phase transition of meristem; xylem and phloem pattern formation,,plant-type cell wall; plasma membrane
Sn00001aa056018_T001,Q42376,"Late embryogenesis abundant protein, group 3",,,nucleus
Sn00001aa060716_T002,P43284,"Tryptophan synthase beta chain 2, chloroplastic",tryptophan biosynthetic process; tryptophan metabolic process,tryptophan synthase activity,chloroplast; cytoplasm
Sn00001aa062552_T001,Q10S66,Chitinase 11,cell wall macromolecule catabolic process; chitin catabolic process; defense response to fungus; polysaccharide catabolic process,chitinase activity; endochitinase activity,
Sn00001aa065278_T001,Q43139,"Fructose-1,6-bisphosphatase, cytosolic","fructose 1,6-bisphosphate metabolic process; fructose 6-phosphate metabolic process; fructose metabolic process; gluconeogenesis; sucrose biosynthetic process","fructose 1,6-bisphosphate 1-phosphatase activity; metal ion binding",cytosol
Sn00001aa067886_T001,O64393,Wheatwin-2,defense response to bacterium; defense response to fungus; killing of cells of another organism; plant-type hypersensitive response,RNA nuclease activity,
Sn00001aa069853_T001,Q6Z6L5,19.0 kDa class II heat shock protein,protein complex oligomerization; protein folding; response to heat; response to hydrogen peroxide; response to salt stress,unfolded protein binding,cytoplasm
Sn00001aa072988_T001,Q654V6,"Pyruvate dehydrogenase E1 component subunit alpha-2, mitochondrial",acetyl-CoA biosynthetic process from pyruvate,metal ion binding; pyruvate dehydrogenase (acetyl-transferring) activity,mitochondrial matrix
Sn00001aa073864_T002,Q9MAH3,Protein DJ-1 homolog B,,glyoxalase III activity,chloroplast; chloroplast stroma
Sn00001aa080797_T001,Q9SUT9,Reticulon-like protein B2,endoplasmic reticulum tubular network organization; response to bacterium,mRNA binding,cytoplasmic side of endoplasmic reticulum membrane; endoplasmic reticulum; endoplasmic reticulum membrane; endoplasmic reticulum tubular network; Golgi apparatus; plasma membrane
Sn00001aa082341_T001,Q7SIC9,"Transketolase, chloroplastic",pentose-phosphate shunt; reductive pentose-phosphate cycle,calcium ion binding; cobalt ion binding; manganese ion binding; transketolase activity,chloroplast thylakoid membrane; cytosol
Sn00001aa086694_T001,Q69T99,"Glucose-1-phosphate adenylyltransferase small subunit 1, chloroplastic/amyloplastic",glycogen biosynthetic process; starch biosynthetic process,ATP binding; glucose-1-phosphate adenylyltransferase activity,amyloplast; chloroplast
Sn00001aa088201_T001,Q7X8B5,"Calcium-transporting ATPase 5, plasma membrane-type",response to cold; response to water deprivation,ATP binding; ATP hydrolysis activity; calmodulin binding; metal ion binding; P-type calcium transporter activity,intracellular membrane-bounded organelle; plasma membrane
Sn00001aa089776_T001,O22765,Tryptophan synthase alpha chain,auxin biosynthetic process; tryptophan metabolic process,indole-3-glycerol-phosphate lyase activity; tryptophan synthase activity,cytoplasm
Sn00001aa092320_T001,Q06398,Probable glutathione S-transferase GSTU6,glutathione metabolic process,glutathione transferase activity,cytoplasm
Sn00001aa092671_T001,P23901,Aldose reductase,,aldose reductase (NADPH) activity,
Sn00001aa099345_T002,Q8GWL1,Protein HEAT-STRESS-ASSOCIATED 32,heat acclimation; post-transcriptional regulation of gene expression; response to heat,,
Sn00001aa100959_T001,Q688T8,"Glucose-1-phosphate adenylyltransferase large subunit 3, chloroplastic/amyloplastic",glycogen biosynthetic process; starch biosynthetic process,ATP binding; glucose-1-phosphate adenylyltransferase activity,chloroplast
Sn00001aa103117_T001,Q9Z729,UPF0098 protein CPn_0877/CP_0992/CPj0877/CpB0906,,,
Td00001aa000735_T001,Q9FJU9,"Glucan endo-1,3-beta-glucosidase 13",carbohydrate metabolic process; cell wall organization; defense response,"glucan endo-1,3-beta-D-glucosidase activity",extracellular region; plasma membrane; plastid; side of membrane
Td00001aa001268_T005,B7F7K7,Beta-glucosidase 31,carbohydrate metabolic process,beta-D-fucosidase activity; beta-galactosidase activity; beta-glucosidase activity,
Td00001aa001511_T001,Q9FQA3,Glutathione transferase GST 23,defense response; glutathione metabolic process,glutathione transferase activity,cytoplasm
Td00001aa002372_T002,Q8LL05,"Granule-bound starch synthase 1b, chloroplastic/amyloplastic",starch biosynthetic process,"alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity",amyloplast; chloroplast
Td00001aa002603_T003,Q9LYA9,"Chloroplast stem-loop binding protein of 41 kDa a, chloroplastic",chloroplast organization; circadian rhythm; plastid translation; positive regulation of DNA-templated transcription; positive regulation of translation; rRNA processing,mRNA binding; poly(U) RNA binding; rRNA binding,apoplast; chloroplast; chloroplast envelope; chloroplast stroma; chloroplast thylakoid; cytosol; plastoglobule; ribosome; stromule; thylakoid
Td00001aa003277_T001,Q6NPT8,F-box protein PP2-B1,protein ubiquitination,carbohydrate binding,nucleus
Td00001aa004040_T001,P46524,Dehydrin COR410,cold acclimation; response to abscisic acid; response to water deprivation,,membrane
Td00001aa004295_T001,Q9FGT8,Temperature-induced lipocalin-1,cellular response to hypoxia; heat acclimation; hyperosmotic salinity response; intracellular chloride ion homeostasis; intracellular sodium ion homeostasis; lipid metabolic process; positive regulation of response to oxidative stress; positive regulation of response to salt stress; response to cold; response to freezing; response to heat; response to high light intensity; response to light stimulus; response to paraquat; response to water deprivation; seed maturation,nutrient reservoir activity,chloroplast envelope; chloroplast membrane; cytoplasm; cytoplasmic side of plasma membrane; cytosol; endoplasmic reticulum; Golgi apparatus; mitochondrion; plant-type vacuole; plasma membrane; plasmodesma; plastid
Td00001aa007022_T003,A0A517FNC4,Cytochrome P450 CYP72A616,cholesterol metabolic process; saponin biosynthetic process; steroid biosynthetic process,"heme binding; iron ion binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",membrane
Td00001aa007217_T002,Q8LGG8,Universal stress protein A-like protein,,AMP binding,cytosol; plasma membrane
Td00001aa007570_T001,P84516,Cationic peroxidase SPC4,hydrogen peroxide catabolic process; response to oxidative stress; response to stress,calcium ion binding; heme binding; lactoperoxidase activity; peroxidase activity,extracellular region; plant-type cell wall
Td00001aa008985_T001,P24632,17.8 kDa class II heat shock protein,protein complex oligomerization; protein folding; response to heat; response to hydrogen peroxide; response to salt stress,unfolded protein binding,cytoplasm
Td00001aa010483_T001,P51615,NADP-dependent malic enzyme,malate metabolic process,malate dehydrogenase (decarboxylating) (NADP+) activity; metal ion binding; NAD binding; oxaloacetate decarboxylase activity,cytoplasm
Td00001aa010483_T002,P51615,NADP-dependent malic enzyme,malate metabolic process,malate dehydrogenase (decarboxylating) (NADP+) activity; metal ion binding; NAD binding; oxaloacetate decarboxylase activity,cytoplasm
Td00001aa011371_T001,Q0DJH7,Acyl transferase 5,,hydroxycinnamoyltransferase activity; N-acyltransferase activity,
Td00001aa012013_T001,Q7XR47,"Probable adenylate kinase 6, chloroplastic",,adenylate kinase activity; ATP binding,chloroplast; cytoplasm; mitochondrion
Td00001aa012719_T001,P29023,Endochitinase B,cell wall macromolecule catabolic process; chitin catabolic process; defense response; polysaccharide catabolic process,chitin binding; chitinase activity; endochitinase activity,extracellular region
Td00001aa013828_T001,P09444,Late embryogenesis abundant protein D-34,,,
Td00001aa014170_T002,Q9FPK7,Inositol-3-phosphate synthase,inositol biosynthetic process; phospholipid biosynthetic process,inositol-3-phosphate synthase activity,cytoplasm; cytosol; nucleus
Td00001aa014362_T001,Q10P60,"26.7 kDa heat shock protein, chloroplastic",response to heat,,chloroplast
Td00001aa014878_T002,Q10LP5,Sucrose synthase 4,sucrose metabolic process,sucrose synthase activity,
Td00001aa014939_T002,Q8LNZ3,UDP-glucose 4-epimerase 1,galactose metabolic process; monosaccharide metabolic process,UDP-glucose 4-epimerase activity,cytosol
Td00001aa017178_T002,P46524,Dehydrin COR410,cold acclimation; response to abscisic acid; response to water deprivation,,membrane
Td00001aa019065_T001,P24631,17.5 kDa class II heat shock protein,protein complex oligomerization; protein folding; response to heat; response to hydrogen peroxide; response to salt stress,unfolded protein binding,cytoplasm
Td00001aa019248_T001,A1XBB7,Protein IN2-1 homolog B,,glutathione transferase activity,
Td00001aa019280_T001,P09189,Heat shock cognate 70 kDa protein,,ATP binding; ATP-dependent protein folding chaperone,
Td00001aa019363_T002,Q9SLZ0,Phosphoenolpyruvate carboxykinase (ATP),gluconeogenesis,ATP binding; phosphoenolpyruvate carboxykinase (ATP) activity,cytosol
Td00001aa019508_T001,Q9SKY8,Heat shock 70 kDa protein 8,response to heat,ATP binding; ATP-dependent protein folding chaperone,
Td00001aa020162_T001,Q9VNE2,Protein krasavietz,axon midline choice point recognition; behavioral response to ethanol; follicle cell of egg chamber development; long-term memory; negative regulation of translation; oogenesis; positive regulation of filopodium assembly,ribosomal small subunit binding; ribosome binding; translation initiation factor binding,axon; axonal growth cone; cytoplasm; filopodium; neuronal cell body
Td00001aa020796_T002,Q69T99,"Glucose-1-phosphate adenylyltransferase small subunit 1, chloroplastic/amyloplastic",glycogen biosynthetic process; starch biosynthetic process,ATP binding; glucose-1-phosphate adenylyltransferase activity,amyloplast; chloroplast
Td00001aa021652_T001,Q6YZX6,"Putative aconitate hydratase, cytoplasmic",citrate metabolic process; glyoxylate cycle; tricarboxylic acid cycle,"4 iron, 4 sulfur cluster binding; aconitate hydratase activity; iron-responsive element binding; metal ion binding",cytosol; mitochondrion
Td00001aa022594_T002,Q42376,"Late embryogenesis abundant protein, group 3",,,nucleus
Td00001aa022732_T002,A2Y6J9,Anaerobic nitrite reductase NSHB5,,heme binding; metal ion binding; oxidoreductase activity; oxygen binding; oxygen carrier activity,cytoplasm; nucleus
Td00001aa022969_T001,P23901,Aldose reductase,,aldose reductase (NADPH) activity,
Td00001aa023916_T001,Q9M5J9,Polygalacturonase inhibitor 1,,polygalacturonase inhibitor activity,extracellular region; Golgi apparatus; membrane; plant-type cell wall; plasmodesma; secretory vesicle
Td00001aa024207_T001,Q84TB6,Actin-depolymerizing factor 3,actin filament depolymerization,actin filament binding,actin cytoskeleton; cytoplasm
Td00001aa024379_T002,P24805,Stem-specific protein TSJT1,,,
Td00001aa024450_T001,A2XMN2,Probable glutathione S-transferase GSTU1,glutathione metabolic process,glutathione transferase activity,cytoplasm
Td00001aa024451_T001,A2XMN2,Probable glutathione S-transferase GSTU1,glutathione metabolic process,glutathione transferase activity,cytoplasm
Td00001aa025429_T004,Q9LVD9,Protein DETOXIFICATION 40,xenobiotic detoxification by transmembrane export across the plasma membrane,antiporter activity; xenobiotic transmembrane transporter activity,plant-type vacuole; vacuolar membrane; vacuole
Td00001aa025492_T002,Q9SGU9,Methionine gamma-lyase,cellular response to sulfate starvation; cellular response to water deprivation; methionine catabolic process via 2-oxobutanoate; protein homotetramerization; transsulfuration,methionine gamma-lyase activity; pyridoxal phosphate binding,cytosol
Td00001aa026762_T001,A0A1D6GQ67,Dolabradiene monooxygenase,defense response; diterpene phytoalexin biosynthetic process,"heme binding; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen; terpene synthase activity",membrane
Td00001aa027028_T002,Q9LVD9,Protein DETOXIFICATION 40,xenobiotic detoxification by transmembrane export across the plasma membrane,antiporter activity; xenobiotic transmembrane transporter activity,plant-type vacuole; vacuolar membrane; vacuole
Td00001aa027099_T003,Q9FFF6,Jasmonate-induced oxygenase 2,cellular response to toxic substance; defense response; negative regulation of defense response to insect; regulation of defense response to fungus; regulation of jasmonic acid mediated signaling pathway,dioxygenase activity; iron ion binding; jasmonic acid hydrolase,cytosol
Td00001aa027713_T001,P49855,Uncharacterized protein YkkB,,"acyltransferase activity, transferring groups other than amino-acyl groups",
Td00001aa029174_T001,P29022,Endochitinase A,amino sugar metabolic process; cell wall macromolecule catabolic process; chitin catabolic process; defense response to fungus; polysaccharide catabolic process,chitin binding; chitinase activity; endochitinase activity,extracellular region
Td00001aa029231_T001,P49081,"Malate synthase, glyoxysomal",glyoxylate cycle; tricarboxylic acid cycle,malate synthase activity,cytoplasm; glyoxysome
Td00001aa029496_T001,Q7XUW5,23.2 kDa heat shock protein,protein complex oligomerization; protein folding; response to heat; response to hydrogen peroxide; response to salt stress,unfolded protein binding,endoplasmic reticulum
Td00001aa031042_T001,Q9Z729,UPF0098 protein CPn_0877/CP_0992/CPj0877/CpB0906,,,
Td00001aa032866_T001,Q0WMZ5,"Outer envelope pore protein 16-2, chloroplastic",monoatomic ion transport,amino acid transmembrane transporter activity; porin activity; protein homodimerization activity,chloroplast outer membrane; plastid outer membrane; pore complex
Td00001aa033192_T001,P27777,16.9 kDa class I heat shock protein 1,protein complex oligomerization; protein folding; response to heat; response to hydrogen peroxide; response to salt stress,unfolded protein binding,cytoplasm
Td00001aa033307_T001,P27777,16.9 kDa class I heat shock protein 1,protein complex oligomerization; protein folding; response to heat; response to hydrogen peroxide; response to salt stress,unfolded protein binding,cytoplasm
Td00001aa033308_T001,P27777,16.9 kDa class I heat shock protein 1,protein complex oligomerization; protein folding; response to heat; response to hydrogen peroxide; response to salt stress,unfolded protein binding,cytoplasm
Td00001aa033337_T001,P51414,Large ribosomal subunit protein uL24z,translation,mRNA binding; structural constituent of ribosome,cytosol; cytosolic large ribosomal subunit; cytosolic ribosome; nucleolus; nucleus; plant-type vacuole
Td00001aa033621_T001,P24631,17.5 kDa class II heat shock protein,protein complex oligomerization; protein folding; response to heat; response to hydrogen peroxide; response to salt stress,unfolded protein binding,cytoplasm
Td00001aa035379_T002,Q9LIF4,Protein LATERAL BRANCHING OXIDOREDUCTASE 1,regulation of secondary shoot formation; strigolactone biosynthetic process,dioxygenase activity; metal ion binding,cytoplasm
Td00001aa037279_T002,Q43654,"Starch synthase 1, chloroplastic/amyloplastic",starch biosynthetic process,"alpha-1,4-glucan glucosyltransferase (ADP-glucose donor) activity; alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity",amyloplast; chloroplast
Td00001aa038053_T001,Q8LL05,"Granule-bound starch synthase 1b, chloroplastic/amyloplastic",starch biosynthetic process,"alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity",amyloplast; chloroplast
Td00001aa039232_T002,Q9LYV6,GEM-like protein 5,embryo development ending in seed dormancy; maintenance of seed dormancy by absisic acid; regulation of seed germination; seed germination,,plastid
Td00001aa039340_T001,A2ZBV1,Abscisic stress-ripening protein 5,,,cytoplasm; nucleus
Td00001aa040338_T001,A2ZBV1,Abscisic stress-ripening protein 5,,,cytoplasm; nucleus
Td00001aa041145_T001,Q0ILQ6,Ras-related protein Rab5A,endomembrane system organization; intracellular protein transport; mRNA transport,GTP binding; GTPase activity,endocytic vesicle; endomembrane system; endosome; Golgi membrane; plant-type vacuole membrane; plasma membrane; protein storage vacuole membrane
Td00001aa041578_T002,Q08277,Heat shock protein 82,cellular response to heat; protein folding; protein stabilization,ATP binding; ATP hydrolysis activity; ATP-dependent protein folding chaperone; unfolded protein binding,cytosol; perinuclear region of cytoplasm; plasma membrane; protein-containing complex
Td00001aa042603_T001,P10968,Agglutinin isolectin 1,,carbohydrate binding; chitin binding,
